Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-1003.245	-1011.091	7.845927	0.04455199	0.136522	0.000801624	0.000801624	0.000812992	0.000812992	0.000790827	0.000790827	0.000800064	0.000800064	0.00172942	0.00172942	0.298901	0.0017669	0.0017669	0.00171873	0.00171873	0.00173881	0.00173881	0.000838455	0.000838455	0.000844652	0.000844652	0.146968	0.000833275	0.000833275	0.000843008	0.000843008	0.00129375	0.00129375	0.00130332	0.00130332	0.0013218	0.0013218	0.220592	0.00130078	0.00130078	0.00131344	0.00131344	0.00132315	0.00132315	0.00134191	0.00134191	0.00130533	0.00130533	0.226565	0.000853038	0.00159846	0.00303921	0.000229957	0.00140069	0.00845823	0.0157331	0.0294957	0.00229429	0.0138134	1.41679	3.07917	1.49284	2.30348	2.33854	1.41679	3.07917	1.49284	2.30348	2.33854	0.142933	0.312809	0.153687	0.231031	0.237133
110	-1003.599	-1011.527	7.928541	0.03341037	0.132286	0.000575074	0.000575074	0.000590164	0.000590164	0.000569794	0.000569794	0.000593377	0.000593377	0.00137195	0.00137195	0.319484	0.0014166	0.0014166	0.00136771	0.00136771	0.00142431	0.00142431	0.00070018	0.00070018	0.000704482	0.000704482	0.167329	0.000698014	0.000698014	0.000726905	0.000726905	0.000883739	0.000883739	0.000889169	0.000889169	0.000912501	0.000912501	0.203906	0.00091747	0.00091747	0.000864258	0.000864258	0.000869569	0.000869569	0.000892386	0.000892386	0.000861585	0.000861585	0.207664	0.000641866	0.00126023	0.00391735	0.000330501	0.00448317	0.00637773	0.0124454	0.0376968	0.00329412	0.0429081	1.35986	3.26414	1.66587	2.10259	2.05624	1.35986	3.26414	1.66587	2.10259	2.05624	0.136943	0.330645	0.172988	0.211111	0.21464
120	-1000.184	-1007.828	7.643211	0.03123175	0.126767	0.000515881	0.000515881	0.000520153	0.000520153	0.000511022	0.000511022	0.00051653	0.00051653	0.00129204	0.00129204	0.323776	0.00131557	0.00131557	0.00129247	0.00129247	0.0013064	0.0013064	0.000701867	0.000701867	0.000708777	0.000708777	0.177339	0.000702103	0.000702103	0.000709669	0.000709669	0.000862923	0.000862923	0.00087142	0.00087142	0.000878636	0.000878636	0.214206	0.000872516	0.000872516	0.000969344	0.000969344	0.000978889	0.000978889	0.000986995	0.000986995	0.00096967	0.00096967	0.243217	0.000427914	0.00141677	0.00225658	0.000461679	0.00154438	0.00426091	0.0139698	0.0220678	0.00459557	0.0152089	1.30297	3.29545	1.79017	2.20096	2.47239	1.30297	3.29545	1.79017	2.20096	2.47239	0.130895	0.334189	0.182984	0.221177	0.251026
130	-1002.709	-1010.565	7.855279	0.03230027	0.121949	0.000515278	0.000515278	0.000522305	0.000522305	0.000508549	0.000508549	0.00051771	0.00051771	0.00117874	0.00117874	0.286107	0.00121	0.00121	0.00117813	0.00117813	0.00119936	0.00119936	0.000686599	0.000686599	0.000695329	0.000695329	0.168926	0.000686249	0.000686249	0.000698611	0.000698611	0.000875939	0.000875939	0.000887076	0.000887076	0.000899174	0.000899174	0.209834	0.000891263	0.000891263	0.00103613	0.00103613	0.0010493	0.0010493	0.00106361	0.00106361	0.0010356	0.0010356	0.252679	0.000496779	0.00177456	0.00316252	0.000445507	0.00225495	0.00494324	0.0174361	0.0306557	0.00443531	0.0220522	1.25397	2.90501	1.69214	2.15877	2.55355	1.25397	2.90501	1.69214	2.15877	2.55355	0.126077	0.295639	0.17446	0.216941	0.261048
140	-1006.33	-1014.308	7.97828	0.03357891	0.14412	0.000631476	0.000631476	0.000639893	0.000639893	0.000622196	0.000622196	0.00064553	0.00064553	0.00123925	0.00123925	0.287853	0.00126687	0.00126687	0.00123183	0.00123183	0.00127803	0.00127803	0.000658461	0.000658461	0.000664282	0.000664282	0.154986	0.00065452	0.00065452	0.000679067	0.000679067	0.00100923	0.00100923	0.00101815	0.00101815	0.00103172	0.00103172	0.230978	0.00104081	0.00104081	0.000895028	0.000895028	0.00090294	0.00090294	0.000914976	0.000914976	0.000889671	0.000889671	0.212524	0.000973866	0.00186644	0.00322432	0.000369517	0.00413369	0.00964473	0.0183224	0.0312361	0.00368156	0.039696	1.47689	2.92397	1.55362	2.38124	2.11179	1.47689	2.92397	1.55362	2.38124	2.11179	0.149198	0.297885	0.160299	0.239178	0.21973
150	-1004.975	-1012.765	7.790119	0.02300819	0.150512	0.000445955	0.000445955	0.000451246	0.000451246	0.000440525	0.000440525	0.000455771	0.000455771	0.000890661	0.000890661	0.304529	0.000907094	0.000907094	0.000885543	0.000885543	0.00091619	0.00091619	0.000538408	0.000538408	0.000541913	0.000541913	0.186273	0.000535314	0.000535314	0.000553841	0.000553841	0.0006913	0.0006913	0.0006958	0.0006958	0.000704055	0.000704055	0.233487	0.000711115	0.000711115	0.000624738	0.000624738	0.000628805	0.000628805	0.000636265	0.000636265	0.000621148	0.000621148	0.218308	0.00080597	0.00146212	0.00266591	0.000226696	0.0036954	0.00799526	0.0144105	0.0259668	0.00226183	0.0356371	1.52825	3.07209	1.85709	2.38445	2.15486	1.52825	3.07209	1.85709	2.38445	2.15486	0.154099	0.311728	0.190612	0.239091	0.22333
160	-1005.459	-1013.106	7.646525	0.03627525	0.143986	0.000674983	0.000674983	0.000676003	0.000676003	0.000669466	0.000669466	0.000681121	0.000681121	0.00158332	0.00158332	0.335279	0.0015799	0.0015799	0.00156462	0.00156462	0.00159186	0.00159186	0.000803581	0.000803581	0.000800635	0.000800635	0.170421	0.000794091	0.000794091	0.000807916	0.000807916	0.00101638	0.00101638	0.00101265	0.00101265	0.00101418	0.00101418	0.213465	0.00102186	0.00102186	0.00106464	0.00106464	0.00106073	0.00106073	0.00106234	0.00106234	0.00105206	0.00105206	0.227494	0.00154018	0.00116788	0.00132074	0.000341057	0.00208794	0.0151682	0.011544	0.0130352	0.00339898	0.0204523	1.4714	3.43883	1.7453	2.20748	2.31229	1.4714	3.43883	1.7453	2.20748	2.31229	0.149389	0.347918	0.176833	0.221596	0.235974
170	-1002.857	-1011.011	8.153321	0.03204722	0.132258	0.000560558	0.000560558	0.000563322	0.000563322	0.000545781	0.000545781	0.000557041	0.000557041	0.00111625	0.00111625	0.276229	0.00114882	0.00114882	0.00111304	0.00111304	0.00113601	0.00113601	0.000687594	0.000687594	0.000704182	0.000704182	0.170992	0.000685619	0.000685619	0.000699764	0.000699764	0.000840829	0.000840829	0.000861115	0.000861115	0.00086536	0.00086536	0.202587	0.000855711	0.000855711	0.000863847	0.000863847	0.000884688	0.000884688	0.000889049	0.000889049	0.000861366	0.000861366	0.212427	0.000664769	0.00309335	0.00360158	0.000375578	0.00244644	0.00660379	0.0300053	0.0347637	0.00374173	0.0238802	1.35734	2.76811	1.70512	2.08511	2.1422	1.35734	2.76811	1.70512	2.08511	2.1422	0.136711	0.285257	0.176546	0.209433	0.219425
180	-1007.612	-1015.63	8.017578	0.02880217	0.148547	0.000564796	0.000564796	0.000555592	0.000555592	0.000551155	0.000551155	0.000555978	0.000555978	0.000950794	0.000950794	0.263063	0.000959291	0.000959291	0.00095163	0.00095163	0.000959957	0.000959957	0.00059409	0.00059409	0.00060933	0.00060933	0.161692	0.000594613	0.000594613	0.000599816	0.000599816	0.000750459	0.000750459	0.00076971	0.00076971	0.000757166	0.000757166	0.20262	0.000757692	0.000757692	0.000935915	0.000935915	0.000959923	0.000959923	0.000944279	0.000944279	0.000936738	0.000936738	0.254903	0.000389494	0.0029647	0.00128669	0.000477776	0.00135705	0.00387983	0.0287934	0.0127034	0.00475504	0.0133888	1.52359	2.63065	1.64372	2.07637	2.58948	1.52359	2.63065	1.64372	2.07637	2.58948	0.153002	0.270706	0.166488	0.20869	0.262456
190	-1001.222	-1008.499	7.27709	0.03094648	0.123888	0.000499984	0.000499984	0.000501233	0.000501233	0.000493015	0.000493015	0.00049647	0.00049647	0.00125646	0.00125646	0.31822	0.00127346	0.00127346	0.00125258	0.00125258	0.00126136	0.00126136	0.000842523	0.000842523	0.000851793	0.000851793	0.213916	0.000839921	0.000839921	0.000845807	0.000845807	0.000900951	0.000900951	0.000910864	0.000910864	0.00091314	0.00091314	0.225001	0.000904462	0.000904462	0.0011176	0.0011176	0.00112989	0.00112989	0.00113272	0.00113272	0.00111415	0.00111415	0.281061	0.000588396	0.00169516	0.0019492	0.000277766	0.000980418	0.00584954	0.016669	0.0191194	0.00276996	0.00970899	1.27097	3.22908	2.16527	2.31543	2.87221	1.27097	3.22908	2.16527	2.31543	2.87221	0.12787	0.328307	0.220677	0.23226	0.29005
200	-997.5621	-1004.994	7.431883	0.03121178	0.133016	0.000538155	0.000538155	0.000541007	0.000541007	0.000534243	0.000534243	0.000538419	0.000538419	0.00129298	0.00129298	0.322549	0.00130584	0.00130584	0.00128952	0.00128952	0.0012996	0.0012996	0.00078471	0.00078471	0.000788338	0.000788338	0.196792	0.000782607	0.000782607	0.000788725	0.000788725	0.000907819	0.000907819	0.000912016	0.000912016	0.00091685	0.00091685	0.22482	0.000912464	0.000912464	0.00103498	0.00103498	0.00103977	0.00103977	0.00104528	0.00104528	0.00103221	0.00103221	0.258315	0.000493678	0.00095826	0.00149332	0.000224359	0.00100783	0.00491253	0.00949165	0.0147135	0.00223856	0.00997779	1.36627	3.2978	2.00144	2.31543	2.63977	1.36627	3.2978	2.00144	2.31543	2.63977	0.13732	0.332925	0.203081	0.232118	0.26662
210	-998.8964	-1006.284	7.387639	0.03283053	0.138261	0.000587579	0.000587579	0.000596694	0.000596694	0.000585025	0.000585025	0.000589323	0.000589323	0.00143849	0.00143849	0.339548	0.0014631	0.0014631	0.00143448	0.00143448	0.00144502	0.00144502	0.000799737	0.000799737	0.000800991	0.000800991	0.191703	0.00079751	0.00079751	0.000803369	0.000803369	0.000868143	0.000868143	0.000869504	0.000869504	0.000882993	0.000882993	0.20403	0.000872085	0.000872085	0.00113951	0.00113951	0.0011413	0.0011413	0.001159	0.001159	0.00113634	0.00113634	0.269774	0.000641173	0.000799004	0.00236274	0.000360978	0.00109821	0.00637088	0.00792671	0.023082	0.0035968	0.0108628	1.42044	3.48291	1.93635	2.10197	2.75902	1.42044	3.48291	1.93635	2.10197	2.75902	0.142978	0.351111	0.198106	0.211016	0.278926
220	-1002.666	-1010.336	7.669305	0.03775977	0.120284	0.00059229	0.00059229	0.000586732	0.000586732	0.000584648	0.000584648	0.000597409	0.000597409	0.00149503	0.00149503	0.30596	0.00148671	0.00148671	0.00148143	0.00148143	0.00151376	0.00151376	0.00104364	0.00104364	0.00104767	0.00104767	0.211579	0.00103415	0.00103415	0.00105672	0.00105672	0.000990845	0.000990845	0.000994667	0.000994667	0.000985332	0.000985332	0.200162	0.00100326	0.00100326	0.00114785	0.00114785	0.00115228	0.00115228	0.00114146	0.00114146	0.00113741	0.00113741	0.23694	0.00137094	0.00176194	0.000806918	0.000448859	0.00264148	0.013524	0.0173143	0.00800459	0.00446854	0.025735	1.23313	3.12461	2.18121	2.07087	2.39901	1.23313	3.12461	2.18121	2.07087	2.39901	0.125006	0.317914	0.219943	0.20811	0.246098
