Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-784.5948	-1006.157	221.562	0.0252503	0.133996	0.000437185	0.000437185	0.000448137	0.000448137	0.000432998	0.000432998	0.000436452	0.000436452	0.000983499	0.000983499	0.30604	0.0010158	0.0010158	0.000981484	0.000981484	0.000989313	0.000989313	0.000550897	0.000550897	0.000555084	0.000555084	0.17572	0.000549769	0.000549769	0.000554154	0.000554154	0.000689764	0.000689764	0.000695007	0.000695007	0.000712418	0.000712418	0.212582	0.000693842	0.000693842	0.000843	0.000843	0.000849408	0.000849408	0.000870687	0.000870687	0.000841274	0.000841274	0.261881	0.00068874	0.00145404	0.00399569	0.000482531	0.00128401	0.00684029	0.0143321	0.0384217	0.00480214	0.0126773	1.36527	3.09468	1.73346	2.17042	2.65259	1.36527	3.09468	1.73346	2.17042	2.65259	0.137506	0.313981	0.18014	0.218164	0.26869
110	-791.5666	-1003.13	211.5633	0.02268301	0.125176	0.000365961	0.000365961	0.000368186	0.000368186	0.000361122	0.000361122	0.000362548	0.000362548	0.000896961	0.000896961	0.311557	0.000909381	0.000909381	0.000891934	0.000891934	0.000895455	0.000895455	0.000539531	0.000539531	0.000543696	0.000543696	0.188544	0.000536507	0.000536507	0.000538626	0.000538626	0.000646659	0.000646659	0.000651651	0.000651651	0.000655614	0.000655614	0.221646	0.000645574	0.000645574	0.000838838	0.000838838	0.000845313	0.000845313	0.000850453	0.000850453	0.000834137	0.000834137	0.288651	0.000749668	0.00152739	0.00214476	0.000185075	0.000580594	0.0074409	0.0150441	0.0209973	0.00184733	0.00577243	1.27128	3.13992	1.8887	2.26371	2.93646	1.27128	3.13992	1.8887	2.26371	2.93646	0.128091	0.318745	0.192861	0.226845	0.295389
120	-788.0913	-1004.163	216.0716	0.02783512	0.134752	0.000489004	0.000489004	0.000495159	0.000495159	0.000481243	0.000481243	0.000484084	0.000484084	0.00102482	0.00102482	0.290335	0.00105219	0.00105219	0.00102262	0.00102262	0.00102866	0.00102866	0.000689564	0.000689564	0.000699177	0.000699177	0.197814	0.000688081	0.000688081	0.000692143	0.000692143	0.000803379	0.000803379	0.000814578	0.000814578	0.000824832	0.000824832	0.223986	0.000806383	0.000806383	0.000948804	0.000948804	0.000962031	0.000962031	0.000974141	0.000974141	0.000946763	0.000946763	0.266094	0.000607839	0.00201037	0.00329447	0.000391419	0.000984087	0.00604167	0.0197075	0.031894	0.00389893	0.00974497	1.37773	2.92762	1.96988	2.29501	2.71045	1.37773	2.92762	1.96988	2.29501	2.71045	0.138651	0.298591	0.203352	0.230485	0.273757
130	-784.0801	-1006.837	222.7571	0.02861055	0.142658	0.000531932	0.000531932	0.000535886	0.000535886	0.000522633	0.000522633	0.000531752	0.000531752	0.00109124	0.00109124	0.300187	0.0011134	0.0011134	0.00108587	0.00108587	0.00110481	0.00110481	0.000650678	0.000650678	0.000658995	0.000658995	0.180325	0.000647475	0.000647475	0.000658772	0.000658772	0.00078278	0.00078278	0.000792786	0.000792786	0.000798679	0.000798679	0.21157	0.000792518	0.000792518	0.000951521	0.000951521	0.000963684	0.000963684	0.000970847	0.000970847	0.000946837	0.000946837	0.261664	0.000794341	0.00208277	0.00284153	0.000298189	0.00204818	0.00788081	0.0204028	0.0276302	0.00297302	0.0200707	1.45703	3.02724	1.80507	2.17154	2.63965	1.45703	3.02724	1.80507	2.17154	2.63965	0.146903	0.308978	0.185557	0.217903	0.26933
140	-786.0439	-1006.385	220.3415	0.02724519	0.129253	0.00045365	0.00045365	0.000459081	0.000459081	0.000447577	0.000447577	0.000450351	0.000450351	0.00108483	0.00108483	0.310636	0.00110057	0.00110057	0.00107299	0.00107299	0.00107964	0.00107964	0.000709191	0.000709191	0.000710965	0.000710965	0.205504	0.000701447	0.000701447	0.000705795	0.000705795	0.000696258	0.000696258	0.000698	0.000698	0.000706356	0.000706356	0.1967	0.000692924	0.000692924	0.000923149	0.000923149	0.000925457	0.000925457	0.000936537	0.000936537	0.000913068	0.000913068	0.262416	0.0014356	0.00168928	0.00290669	0.000327947	0.000949887	0.0141528	0.0166122	0.0282459	0.00326875	0.00940949	1.30992	3.14032	2.05293	2.01549	2.67228	1.30992	3.14032	2.05293	2.01549	2.67228	0.132874	0.319312	0.211159	0.202288	0.269813
150	-786.3486	-1006.213	219.8641	0.03858538	0.125559	0.000632357	0.000632357	0.000640855	0.000640855	0.000627303	0.000627303	0.000637857	0.000637857	0.00163268	0.00163268	0.326719	0.00166109	0.00166109	0.00162596	0.00162596	0.00165332	0.00165332	0.00084624	0.00084624	0.000849547	0.000849547	0.171618	0.000842756	0.000842756	0.000856935	0.000856935	0.00105564	0.00105564	0.00105977	0.00105977	0.00107401	0.00107401	0.209558	0.00106899	0.00106899	0.00104483	0.00104483	0.00104891	0.00104891	0.00106301	0.00106301	0.00104053	0.00104053	0.2109	0.000884831	0.00127905	0.00264015	0.000469543	0.00215988	0.0087707	0.0126289	0.0257224	0.00467349	0.0211421	1.29452	3.35539	1.73914	2.1695	2.14727	1.29452	3.35539	1.73914	2.1695	2.14727	0.130635	0.339865	0.178409	0.218075	0.219295
160	-787.2035	-1007.419	220.216	0.0398058	0.133602	0.00069903	0.00069903	0.000693666	0.000693666	0.000689888	0.000689888	0.000697464	0.000697464	0.00151754	0.00151754	0.295684	0.00152047	0.00152047	0.00151219	0.00151219	0.0015288	0.0015288	0.0010969	0.0010969	0.00110752	0.00110752	0.212084	0.00109303	0.00109303	0.00110503	0.00110503	0.00105484	0.00105484	0.00106505	0.00106505	0.00105688	0.00105688	0.202841	0.00106266	0.00106266	0.00136687	0.00136687	0.0013801	0.0013801	0.00136951	0.00136951	0.00136205	0.00136205	0.265729	0.000671067	0.00164574	0.000865723	0.000316443	0.00141798	0.00666594	0.0161909	0.00858293	0.00315445	0.0139816	1.38213	3.02956	2.1898	2.10584	2.72876	1.38213	3.02956	2.1898	2.10584	2.72876	0.139162	0.307842	0.220889	0.21132	0.276686
170	-783.0618	-1004.065	221.0035	0.03030109	0.132438	0.000521341	0.000521341	0.000526829	0.000526829	0.000516404	0.000516404	0.000523261	0.000523261	0.00116339	0.00116339	0.300173	0.00118482	0.00118482	0.00116137	0.00116137	0.00117679	0.00117679	0.000698769	0.000698769	0.000704224	0.000704224	0.182191	0.000697555	0.000697555	0.000706819	0.000706819	0.000865213	0.000865213	0.000871968	0.000871968	0.000881147	0.000881147	0.221124	0.00087518	0.00087518	0.000912922	0.000912922	0.00092005	0.00092005	0.000929735	0.000929735	0.000911337	0.000911337	0.236416	0.000625454	0.00141109	0.00247866	0.000450714	0.00178469	0.00621566	0.0139145	0.0241871	0.00448692	0.017534	1.35728	3.05245	1.8334	2.27011	2.39529	1.35728	3.05245	1.8334	2.27011	2.39529	0.136614	0.309546	0.187806	0.228111	0.243764
180	-781.7408	-1007.578	225.8373	0.03769441	0.138893	0.000679143	0.000679143	0.000688838	0.000688838	0.000675579	0.000675579	0.000682891	0.000682891	0.0015533	0.0015533	0.316802	0.00157332	0.00157332	0.00154304	0.00154304	0.00155974	0.00155974	0.000888747	0.000888747	0.000887535	0.000887535	0.183852	0.000882879	0.000882879	0.000892434	0.000892434	0.000998685	0.000998685	0.000997324	0.000997324	0.00101156	0.00101156	0.202618	0.00100283	0.00100283	0.00117022	0.00117022	0.00116863	0.00116863	0.00118531	0.00118531	0.0011625	0.0011625	0.23999	0.00103641	0.000898649	0.00233901	0.000369287	0.00145557	0.0102577	0.00890645	0.0228555	0.00367929	0.0143469	1.42853	3.2628	1.86687	2.0978	2.45812	1.42853	3.2628	1.86687	2.0978	2.45812	0.144346	0.329261	0.190955	0.210639	0.249363
190	-790.5047	-1005.351	214.8468	0.02945085	0.132917	0.000507809	0.000507809	0.000524321	0.000524321	0.000501822	0.000501822	0.00050707	0.00050707	0.00120661	0.00120661	0.32041	0.00125485	0.00125485	0.00120101	0.00120101	0.00121357	0.00121357	0.000579842	0.000579842	0.000584035	0.000584035	0.158981	0.00057715	0.00057715	0.000583185	0.000583185	0.000832611	0.000832611	0.000838632	0.000838632	0.000865901	0.000865901	0.21849	0.000837411	0.000837411	0.000993205	0.000993205	0.00100039	0.00100039	0.00103292	0.00103292	0.000988594	0.000988594	0.263357	0.000870854	0.00160032	0.00490395	0.000402525	0.00145244	0.00863336	0.0157512	0.0467471	0.00400912	0.0143164	1.35768	3.24933	1.56148	2.24217	2.67464	1.35768	3.24933	1.56148	2.24217	2.67464	0.136999	0.330162	0.16363	0.225239	0.271388
