param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,100000000
R0_0,9.5930473106
R0_1,9.5930473106
R0_2,9.5930473106
R0_3,9.5930473106
R0_4,9.5930473106
Sample_0,0.0953984488
Sample_1,0.0953984488
Sample_2,0.0953984488
Sample_3,0.0953984488
Sample_4,0.0953984488
Recover_0,0.1901189016
Recover_1,0.1901189016
Recover_2,0.1901189016
Recover_3,0.1901189016
Recover_4,0.1901189016
Stop_time_0,3.9906189972
Time_of_interest_0,7.6776129608
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Total_S0_4,100000000
Infect_0,2.74e-08
Infect_1,2.74e-08
Infect_2,2.74e-08
Infect_3,2.74e-08
Infect_4,2.74e-08
VisitDepart_0_0,0.0268159291
VisitDepart_0_1,0.0268159291
VisitDepart_0_2,0.0268159291
VisitDepart_0_3,0.0268159291
VisitDepart_0_4,0.0268159291
VisitDepart_1_0,0.0268159291
VisitDepart_1_1,0.0268159291
VisitDepart_1_2,0.0268159291
VisitDepart_1_3,0.0268159291
VisitDepart_1_4,0.0268159291
VisitDepart_2_0,0.0268159291
VisitDepart_2_1,0.0268159291
VisitDepart_2_2,0.0268159291
VisitDepart_2_3,0.0268159291
VisitDepart_2_4,0.0268159291
VisitDepart_3_0,0.0268159291
VisitDepart_3_1,0.0268159291
VisitDepart_3_2,0.0268159291
VisitDepart_3_3,0.0268159291
VisitDepart_3_4,0.0268159291
VisitDepart_4_0,0.0268159291
VisitDepart_4_1,0.0268159291
VisitDepart_4_2,0.0268159291
VisitDepart_4_3,0.0268159291
VisitDepart_4_4,0.0268159291
VisitReturn_0_0,0.1601788776
VisitReturn_0_1,0.1601788776
VisitReturn_0_2,0.1601788776
VisitReturn_0_3,0.1601788776
VisitReturn_0_4,0.1601788776
VisitReturn_1_0,0.1601788776
VisitReturn_1_1,0.1601788776
VisitReturn_1_2,0.1601788776
VisitReturn_1_3,0.1601788776
VisitReturn_1_4,0.1601788776
VisitReturn_2_0,0.1601788776
VisitReturn_2_1,0.1601788776
VisitReturn_2_2,0.1601788776
VisitReturn_2_3,0.1601788776
VisitReturn_2_4,0.1601788776
VisitReturn_3_0,0.1601788776
VisitReturn_3_1,0.1601788776
VisitReturn_3_2,0.1601788776
VisitReturn_3_3,0.1601788776
VisitReturn_3_4,0.1601788776
VisitReturn_4_0,0.1601788776
VisitReturn_4_1,0.1601788776
VisitReturn_4_2,0.1601788776
VisitReturn_4_3,0.1601788776
VisitReturn_4_4,0.1601788776
VisitStationaryFreqs_0_0,0.5989280734
VisitStationaryFreqs_0_1,0.1002679817
VisitStationaryFreqs_0_2,0.1002679817
VisitStationaryFreqs_0_3,0.1002679817
VisitStationaryFreqs_0_4,0.1002679817
VisitStationaryFreqs_1_0,0.1002679817
VisitStationaryFreqs_1_1,0.5989280734
VisitStationaryFreqs_1_2,0.1002679817
VisitStationaryFreqs_1_3,0.1002679817
VisitStationaryFreqs_1_4,0.1002679817
VisitStationaryFreqs_2_0,0.1002679817
VisitStationaryFreqs_2_1,0.1002679817
VisitStationaryFreqs_2_2,0.5989280734
VisitStationaryFreqs_2_3,0.1002679817
VisitStationaryFreqs_2_4,0.1002679817
VisitStationaryFreqs_3_0,0.1002679817
VisitStationaryFreqs_3_1,0.1002679817
VisitStationaryFreqs_3_2,0.1002679817
VisitStationaryFreqs_3_3,0.5989280734
VisitStationaryFreqs_3_4,0.1002679817
VisitStationaryFreqs_4_0,0.1002679817
VisitStationaryFreqs_4_1,0.1002679817
VisitStationaryFreqs_4_2,0.1002679817
VisitStationaryFreqs_4_3,0.1002679817
VisitStationaryFreqs_4_4,0.5989280734
VisitApproxInfect_0_0,1.64e-08
VisitApproxInfect_0_1,2.7e-09
VisitApproxInfect_0_2,2.7e-09
VisitApproxInfect_0_3,2.7e-09
VisitApproxInfect_0_4,2.7e-09
VisitApproxInfect_1_0,2.7e-09
VisitApproxInfect_1_1,1.64e-08
VisitApproxInfect_1_2,2.7e-09
VisitApproxInfect_1_3,2.7e-09
VisitApproxInfect_1_4,2.7e-09
VisitApproxInfect_2_0,2.7e-09
VisitApproxInfect_2_1,2.7e-09
VisitApproxInfect_2_2,1.64e-08
VisitApproxInfect_2_3,2.7e-09
VisitApproxInfect_2_4,2.7e-09
VisitApproxInfect_3_0,2.7e-09
VisitApproxInfect_3_1,2.7e-09
VisitApproxInfect_3_2,2.7e-09
VisitApproxInfect_3_3,1.64e-08
VisitApproxInfect_3_4,2.7e-09
VisitApproxInfect_4_0,2.7e-09
VisitApproxInfect_4_1,2.7e-09
VisitApproxInfect_4_2,2.7e-09
VisitApproxInfect_4_3,2.7e-09
VisitApproxInfect_4_4,1.64e-08
StartState_0,2
StartState_1,4
actual_sim_time_0,3.9906189972
SampleCount_0,47.0
SampleCount_1,37.0
SampleCount_2,152.0
SampleCount_3,71.0
SampleCount_4,636.0
total_sampled_0,943.0
num_sampled_per_capita_0,4.7e-07
num_sampled_per_capita_1,3.7e-07
num_sampled_per_capita_2,1.52e-06
num_sampled_per_capita_3,7.1e-07
num_sampled_per_capita_4,6.36e-06
Prevalence_0,596.0
Prevalence_1,442.0
Prevalence_2,1526.0
Prevalence_3,631.0
Prevalence_4,6514.0
per_capita_prevalence_at_t_0,5.96e-06
per_capita_prevalence_at_t_1,4.42e-06
per_capita_prevalence_at_t_2,1.526e-05
per_capita_prevalence_at_t_3,6.31e-06
per_capita_prevalence_at_t_4,6.514e-05
final_Susceptible_0_0_0,99998590.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99998705.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99997986.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99998512.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,99994775.0
final_Contagious_0_0_0,353.0
final_Contagious_0_1_0,38.0
final_Contagious_0_2_0,135.0
final_Contagious_0_3_0,53.0
final_Contagious_0_4_0,649.0
final_Contagious_1_0_0,57.0
final_Contagious_1_1_0,257.0
final_Contagious_1_2_0,131.0
final_Contagious_1_3_0,63.0
final_Contagious_1_4_0,596.0
final_Contagious_2_0_0,58.0
final_Contagious_2_1_0,34.0
final_Contagious_2_2_0,932.0
final_Contagious_2_3_0,52.0
final_Contagious_2_4_0,631.0
final_Contagious_3_0_0,40.0
final_Contagious_3_1_0,37.0
final_Contagious_3_2_0,136.0
final_Contagious_3_3_0,376.0
final_Contagious_3_4_0,692.0
final_Contagious_4_0_0,88.0
final_Contagious_4_1_0,76.0
final_Contagious_4_2_0,192.0
final_Contagious_4_3_0,87.0
final_Contagious_4_4_0,3946.0
final_Recovered_0_0_0,182.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,191.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,308.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,207.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,836.0
most_recent_tip_age_0,0.0
log_R0_0,2.2610385976
log_R0_1,2.2610385976
log_R0_2,2.2610385976
log_R0_3,2.2610385976
log_R0_4,2.2610385976
log_Sample_0,-2.3496929606
log_Sample_1,-2.3496929606
log_Sample_2,-2.3496929606
log_Sample_3,-2.3496929606
log_Sample_4,-2.3496929606
log_Recover_0,-1.6601056048
log_Recover_1,-1.6601056048
log_Recover_2,-1.6601056048
log_Recover_3,-1.6601056048
log_Recover_4,-1.6601056048
log_VisitDepart_0_0,-3.6187591978
log_VisitDepart_0_1,-3.6187591978
log_VisitDepart_0_2,-3.6187591978
