param,value
S0_0_0_0,1000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,1000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,1000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,1000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,1000000
R0_0,2.4209589035
R0_1,2.4209589035
R0_2,2.4209589035
R0_3,2.4209589035
R0_4,2.4209589035
Sample_0,0.0655354776
Sample_1,0.0655354776
Sample_2,0.0655354776
Sample_3,0.0655354776
Sample_4,0.0655354776
Recover_0,0.8216741333
Recover_1,0.8216741333
Recover_2,0.8216741333
Recover_3,0.8216741333
Recover_4,0.8216741333
Stop_time_0,7.0189325303
Time_of_interest_0,25.6857736556
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,1000000
Total_S0_1,1000000
Total_S0_2,1000000
Total_S0_3,1000000
Total_S0_4,1000000
Infect_0,2.1479e-06
Infect_1,2.1479e-06
Infect_2,2.1479e-06
Infect_3,2.1479e-06
Infect_4,2.1479e-06
VisitDepart_0_0,0.0021807703
VisitDepart_0_1,0.0021807703
VisitDepart_0_2,0.0021807703
VisitDepart_0_3,0.0021807703
VisitDepart_0_4,0.0021807703
VisitDepart_1_0,0.0021807703
VisitDepart_1_1,0.0021807703
VisitDepart_1_2,0.0021807703
VisitDepart_1_3,0.0021807703
VisitDepart_1_4,0.0021807703
VisitDepart_2_0,0.0021807703
VisitDepart_2_1,0.0021807703
VisitDepart_2_2,0.0021807703
VisitDepart_2_3,0.0021807703
VisitDepart_2_4,0.0021807703
VisitDepart_3_0,0.0021807703
VisitDepart_3_1,0.0021807703
VisitDepart_3_2,0.0021807703
VisitDepart_3_3,0.0021807703
VisitDepart_3_4,0.0021807703
VisitDepart_4_0,0.0021807703
VisitDepart_4_1,0.0021807703
VisitDepart_4_2,0.0021807703
VisitDepart_4_3,0.0021807703
VisitDepart_4_4,0.0021807703
VisitReturn_0_0,0.1315875969
VisitReturn_0_1,0.1315875969
VisitReturn_0_2,0.1315875969
VisitReturn_0_3,0.1315875969
VisitReturn_0_4,0.1315875969
VisitReturn_1_0,0.1315875969
VisitReturn_1_1,0.1315875969
VisitReturn_1_2,0.1315875969
VisitReturn_1_3,0.1315875969
VisitReturn_1_4,0.1315875969
VisitReturn_2_0,0.1315875969
VisitReturn_2_1,0.1315875969
VisitReturn_2_2,0.1315875969
VisitReturn_2_3,0.1315875969
VisitReturn_2_4,0.1315875969
VisitReturn_3_0,0.1315875969
VisitReturn_3_1,0.1315875969
VisitReturn_3_2,0.1315875969
VisitReturn_3_3,0.1315875969
VisitReturn_3_4,0.1315875969
VisitReturn_4_0,0.1315875969
VisitReturn_4_1,0.1315875969
VisitReturn_4_2,0.1315875969
VisitReturn_4_3,0.1315875969
VisitReturn_4_4,0.1315875969
VisitStationaryFreqs_0_0,0.9378302398
VisitStationaryFreqs_0_1,0.01554244
VisitStationaryFreqs_0_2,0.01554244
VisitStationaryFreqs_0_3,0.01554244
VisitStationaryFreqs_0_4,0.01554244
VisitStationaryFreqs_1_0,0.01554244
VisitStationaryFreqs_1_1,0.9378302398
VisitStationaryFreqs_1_2,0.01554244
VisitStationaryFreqs_1_3,0.01554244
VisitStationaryFreqs_1_4,0.01554244
VisitStationaryFreqs_2_0,0.01554244
VisitStationaryFreqs_2_1,0.01554244
VisitStationaryFreqs_2_2,0.9378302398
VisitStationaryFreqs_2_3,0.01554244
VisitStationaryFreqs_2_4,0.01554244
VisitStationaryFreqs_3_0,0.01554244
VisitStationaryFreqs_3_1,0.01554244
VisitStationaryFreqs_3_2,0.01554244
VisitStationaryFreqs_3_3,0.9378302398
VisitStationaryFreqs_3_4,0.01554244
VisitStationaryFreqs_4_0,0.01554244
VisitStationaryFreqs_4_1,0.01554244
VisitStationaryFreqs_4_2,0.01554244
VisitStationaryFreqs_4_3,0.01554244
VisitStationaryFreqs_4_4,0.9378302398
VisitApproxInfect_0_0,2.0144e-06
VisitApproxInfect_0_1,3.34e-08
VisitApproxInfect_0_2,3.34e-08
VisitApproxInfect_0_3,3.34e-08
VisitApproxInfect_0_4,3.34e-08
VisitApproxInfect_1_0,3.34e-08
VisitApproxInfect_1_1,2.0144e-06
VisitApproxInfect_1_2,3.34e-08
VisitApproxInfect_1_3,3.34e-08
VisitApproxInfect_1_4,3.34e-08
VisitApproxInfect_2_0,3.34e-08
VisitApproxInfect_2_1,3.34e-08
VisitApproxInfect_2_2,2.0144e-06
VisitApproxInfect_2_3,3.34e-08
VisitApproxInfect_2_4,3.34e-08
VisitApproxInfect_3_0,3.34e-08
VisitApproxInfect_3_1,3.34e-08
VisitApproxInfect_3_2,3.34e-08
VisitApproxInfect_3_3,2.0144e-06
VisitApproxInfect_3_4,3.34e-08
VisitApproxInfect_4_0,3.34e-08
VisitApproxInfect_4_1,3.34e-08
VisitApproxInfect_4_2,3.34e-08
VisitApproxInfect_4_3,3.34e-08
VisitApproxInfect_4_4,2.0144e-06
StartState_0,0
StartState_1,0
actual_sim_time_0,7.0189325303
SampleCount_0,1242.0
SampleCount_1,70.0
SampleCount_2,6.0
SampleCount_3,20.0
SampleCount_4,14.0
total_sampled_0,1352.0
num_sampled_per_capita_0,0.001242
num_sampled_per_capita_1,7e-05
num_sampled_per_capita_2,6e-06
num_sampled_per_capita_3,2e-05
num_sampled_per_capita_4,1.4e-05
Prevalence_0,11961.0
Prevalence_1,708.0
Prevalence_2,84.0
Prevalence_3,231.0
Prevalence_4,165.0
per_capita_prevalence_at_t_0,0.011961
per_capita_prevalence_at_t_1,0.000708
per_capita_prevalence_at_t_2,8.4e-05
per_capita_prevalence_at_t_3,0.000231
per_capita_prevalence_at_t_4,0.000165
final_Susceptible_0_0_0,979424.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,998537.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,999534.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,999274.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,999413.0
final_Contagious_0_0_0,11207.0
final_Contagious_0_1_0,15.0
final_Contagious_0_2_0,13.0
final_Contagious_0_3_0,17.0
final_Contagious_0_4_0,7.0
final_Contagious_1_0_0,195.0
final_Contagious_1_1_0,663.0
final_Contagious_1_2_0,0.0
final_Contagious_1_3_0,6.0
final_Contagious_1_4_0,5.0
final_Contagious_2_0_0,183.0
final_Contagious_2_1_0,10.0
final_Contagious_2_2_0,69.0
final_Contagious_2_3_0,3.0
final_Contagious_2_4_0,5.0
final_Contagious_3_0_0,197.0
final_Contagious_3_1_0,9.0
final_Contagious_3_2_0,0.0
final_Contagious_3_3_0,202.0
final_Contagious_3_4_0,1.0
final_Contagious_4_0_0,179.0
final_Contagious_4_1_0,11.0
final_Contagious_4_2_0,2.0
final_Contagious_4_3_0,3.0
final_Contagious_4_4_0,147.0
final_Recovered_0_0_0,9318.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,594.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,196.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,317.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,245.0
most_recent_tip_age_0,0.0
log_R0_0,0.8841637028
log_R0_1,0.8841637028
