param,value
S0_0_0_0,1000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,1000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,1000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,1000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,1000000
R0_0,5.5586134158
R0_1,5.5586134158
R0_2,5.5586134158
R0_3,5.5586134158
R0_4,5.5586134158
Sample_0,0.0327832456
Sample_1,0.0327832456
Sample_2,0.0327832456
Sample_3,0.0327832456
Sample_4,0.0327832456
Recover_0,0.2984380287
Recover_1,0.2984380287
Recover_2,0.2984380287
Recover_3,0.2984380287
Recover_4,0.2984380287
Stop_time_0,6.2948720275
Time_of_interest_0,23.5746978616
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,1000000
Total_S0_1,1000000
Total_S0_2,1000000
Total_S0_3,1000000
Total_S0_4,1000000
Infect_0,1.8411e-06
Infect_1,1.8411e-06
Infect_2,1.8411e-06
Infect_3,1.8411e-06
Infect_4,1.8411e-06
VisitDepart_0_0,0.0020159846
VisitDepart_0_1,0.0020159846
VisitDepart_0_2,0.0020159846
VisitDepart_0_3,0.0020159846
VisitDepart_0_4,0.0020159846
VisitDepart_1_0,0.0020159846
VisitDepart_1_1,0.0020159846
VisitDepart_1_2,0.0020159846
VisitDepart_1_3,0.0020159846
VisitDepart_1_4,0.0020159846
VisitDepart_2_0,0.0020159846
VisitDepart_2_1,0.0020159846
VisitDepart_2_2,0.0020159846
VisitDepart_2_3,0.0020159846
VisitDepart_2_4,0.0020159846
VisitDepart_3_0,0.0020159846
VisitDepart_3_1,0.0020159846
VisitDepart_3_2,0.0020159846
VisitDepart_3_3,0.0020159846
VisitDepart_3_4,0.0020159846
VisitDepart_4_0,0.0020159846
VisitDepart_4_1,0.0020159846
VisitDepart_4_2,0.0020159846
VisitDepart_4_3,0.0020159846
VisitDepart_4_4,0.0020159846
VisitReturn_0_0,0.8905116562
VisitReturn_0_1,0.8905116562
VisitReturn_0_2,0.8905116562
VisitReturn_0_3,0.8905116562
VisitReturn_0_4,0.8905116562
VisitReturn_1_0,0.8905116562
VisitReturn_1_1,0.8905116562
VisitReturn_1_2,0.8905116562
VisitReturn_1_3,0.8905116562
VisitReturn_1_4,0.8905116562
VisitReturn_2_0,0.8905116562
VisitReturn_2_1,0.8905116562
VisitReturn_2_2,0.8905116562
VisitReturn_2_3,0.8905116562
VisitReturn_2_4,0.8905116562
VisitReturn_3_0,0.8905116562
VisitReturn_3_1,0.8905116562
VisitReturn_3_2,0.8905116562
VisitReturn_3_3,0.8905116562
VisitReturn_3_4,0.8905116562
VisitReturn_4_0,0.8905116562
VisitReturn_4_1,0.8905116562
VisitReturn_4_2,0.8905116562
VisitReturn_4_3,0.8905116562
VisitReturn_4_4,0.8905116562
VisitStationaryFreqs_0_0,0.9910258653
VisitStationaryFreqs_0_1,0.0022435337
VisitStationaryFreqs_0_2,0.0022435337
VisitStationaryFreqs_0_3,0.0022435337
VisitStationaryFreqs_0_4,0.0022435337
VisitStationaryFreqs_1_0,0.0022435337
VisitStationaryFreqs_1_1,0.9910258653
VisitStationaryFreqs_1_2,0.0022435337
VisitStationaryFreqs_1_3,0.0022435337
VisitStationaryFreqs_1_4,0.0022435337
VisitStationaryFreqs_2_0,0.0022435337
VisitStationaryFreqs_2_1,0.0022435337
VisitStationaryFreqs_2_2,0.9910258653
VisitStationaryFreqs_2_3,0.0022435337
VisitStationaryFreqs_2_4,0.0022435337
VisitStationaryFreqs_3_0,0.0022435337
VisitStationaryFreqs_3_1,0.0022435337
VisitStationaryFreqs_3_2,0.0022435337
VisitStationaryFreqs_3_3,0.9910258653
VisitStationaryFreqs_3_4,0.0022435337
VisitStationaryFreqs_4_0,0.0022435337
VisitStationaryFreqs_4_1,0.0022435337
VisitStationaryFreqs_4_2,0.0022435337
VisitStationaryFreqs_4_3,0.0022435337
VisitStationaryFreqs_4_4,0.9910258653
VisitApproxInfect_0_0,1.8246e-06
VisitApproxInfect_0_1,4.1e-09
VisitApproxInfect_0_2,4.1e-09
VisitApproxInfect_0_3,4.1e-09
VisitApproxInfect_0_4,4.1e-09
VisitApproxInfect_1_0,4.1e-09
VisitApproxInfect_1_1,1.8246e-06
VisitApproxInfect_1_2,4.1e-09
VisitApproxInfect_1_3,4.1e-09
VisitApproxInfect_1_4,4.1e-09
VisitApproxInfect_2_0,4.1e-09
VisitApproxInfect_2_1,4.1e-09
VisitApproxInfect_2_2,1.8246e-06
VisitApproxInfect_2_3,4.1e-09
VisitApproxInfect_2_4,4.1e-09
VisitApproxInfect_3_0,4.1e-09
VisitApproxInfect_3_1,4.1e-09
VisitApproxInfect_3_2,4.1e-09
VisitApproxInfect_3_3,1.8246e-06
VisitApproxInfect_3_4,4.1e-09
VisitApproxInfect_4_0,4.1e-09
VisitApproxInfect_4_1,4.1e-09
VisitApproxInfect_4_2,4.1e-09
VisitApproxInfect_4_3,4.1e-09
VisitApproxInfect_4_4,1.8246e-06
StartState_0,2
StartState_1,2
actual_sim_time_0,6.2948720275
SampleCount_0,2.0
SampleCount_1,2.0
SampleCount_2,224.0
SampleCount_3,3.0
SampleCount_4,8.0
total_sampled_0,239.0
num_sampled_per_capita_0,2e-06
num_sampled_per_capita_1,2e-06
num_sampled_per_capita_2,0.000224
num_sampled_per_capita_3,3e-06
num_sampled_per_capita_4,8e-06
Prevalence_0,21.0
Prevalence_1,22.0
Prevalence_2,2934.0
Prevalence_3,17.0
Prevalence_4,70.0
per_capita_prevalence_at_t_0,2.1e-05
per_capita_prevalence_at_t_1,2.2e-05
per_capita_prevalence_at_t_2,0.002934
per_capita_prevalence_at_t_3,1.7e-05
per_capita_prevalence_at_t_4,7e-05
final_Susceptible_0_0_0,999965.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,999968.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,996199.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,999974.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,999905.0
final_Contagious_0_0_0,20.0
final_Contagious_0_1_0,0.0
final_Contagious_0_2_0,6.0
final_Contagious_0_3_0,0.0
final_Contagious_0_4_0,0.0
final_Contagious_1_0_0,0.0
final_Contagious_1_1_0,18.0
final_Contagious_1_2_0,11.0
final_Contagious_1_3_0,0.0
final_Contagious_1_4_0,0.0
final_Contagious_2_0_0,1.0
final_Contagious_2_1_0,4.0
final_Contagious_2_2_0,2910.0
final_Contagious_2_3_0,1.0
final_Contagious_2_4_0,2.0
final_Contagious_3_0_0,0.0
final_Contagious_3_1_0,0.0
final_Contagious_3_2_0,2.0
final_Contagious_3_3_0,16.0
final_Contagious_3_4_0,0.0
final_Contagious_4_0_0,0.0
final_Contagious_4_1_0,0.0
final_Contagious_4_2_0,5.0
final_Contagious_4_3_0,0.0
final_Contagious_4_4_0,68.0
final_Recovered_0_0_0,9.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,3.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,884.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,8.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,22.0
most_recent_tip_age_0,0.0
log_R0_0,1.7153486915
