param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_1_0_0,0
S0_1_1_0,100000000
R0_0,7.1015989783
R0_1,7.1015989783
Sample_0,0.0326437877
Sample_1,0.0326437877
Recover_0,0.4492589624
Recover_1,0.4492589624
Stop_time_0,3.99589843
Time_of_interest_0,109.9404182775
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Infect_0,3.42e-08
Infect_1,3.42e-08
VisitDepart_0_0,0.0591180628
VisitDepart_0_1,0.0591180628
VisitDepart_1_0,0.0591180628
VisitDepart_1_1,0.0591180628
VisitReturn_0_0,0.2987670258
VisitReturn_0_1,0.2987670258
VisitReturn_1_0,0.2987670258
VisitReturn_1_1,0.2987670258
VisitStationaryFreqs_0_0,0.8348127242
VisitStationaryFreqs_0_1,0.1651872758
VisitStationaryFreqs_1_0,0.1651872758
VisitStationaryFreqs_1_1,0.8348127242
VisitApproxInfect_0_0,2.86e-08
VisitApproxInfect_0_1,5.7e-09
VisitApproxInfect_1_0,5.7e-09
VisitApproxInfect_1_1,2.86e-08
StartState_0,0
StartState_1,0
actual_sim_time_0,3.99589843
SampleCount_0,3390.0
SampleCount_1,773.0
total_sampled_0,4163.0
num_sampled_per_capita_0,3.39e-05
num_sampled_per_capita_1,7.73e-06
Prevalence_0,52666.0
Prevalence_1,13639.0
per_capita_prevalence_at_t_0,0.00052666
per_capita_prevalence_at_t_1,0.00013639
final_Susceptible_0_0_0,99942195.0
final_Susceptible_0_1_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99976610.0
final_Contagious_0_0_0,44376.0
final_Contagious_0_1_0,2653.0
final_Contagious_1_0_0,8290.0
final_Contagious_1_1_0,10986.0
final_Recovered_0_0_0,10777.0
final_Recovered_0_1_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,4114.0
most_recent_tip_age_0,0.0
log_R0_0,1.9603199669
log_R0_1,1.9603199669
log_Sample_0,-3.4221007102
log_Sample_1,-3.4221007102
log_Recover_0,-0.8001558038
log_Recover_1,-0.8001558038
log_VisitDepart_0_0,-2.8282187698
log_VisitDepart_0_1,-2.8282187698
log_VisitDepart_1_0,-2.8282187698
log_VisitDepart_1_1,-2.8282187698
log_VisitReturn_0_0,-1.2080911873
log_VisitReturn_0_1,-1.2080911873
log_VisitReturn_1_0,-1.2080911873
log_VisitReturn_1_1,-1.2080911873
log_Infect_0,-17.1903737255
log_Infect_1,-17.1903737255
