Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-842.6324	-1044.37	201.7375	0.03296588	0.10814	0.000431849	0.000431849	0.000435208	0.000435208	0.000393656	0.000393656	0.000415363	0.000415363	0.00111649	0.00111649	0.245546	0.00105446	0.00105446	0.000953783	0.000953783	0.00100638	0.00100638	0.000698894	0.000698894	0.000654972	0.000654972	0.154901	0.000597045	0.000597045	0.000629968	0.000629968	0.000819671	0.000819671	0.000768159	0.000768159	0.000774133	0.000774133	0.164325	0.000738834	0.000738834	0.000891931	0.000891931	0.000835878	0.000835878	0.000842379	0.000842379	0.000761951	0.000761951	0.188671	0.950528	2.30302	1.44164	1.69077	1.83982	0.950528	2.30302	1.44164	1.69077	1.83982	0.111492	0.253808	0.160063	0.170526	0.195335
110	-837.0178	-1046.531	209.5134	0.02599341	0.0965707	0.000301903	0.000301903	0.000304252	0.000304252	0.000275202	0.000275202	0.000290378	0.000290378	0.000793868	0.000793868	0.223022	0.000749764	0.000749764	0.000678179	0.000678179	0.000715576	0.000715576	0.000474564	0.000474564	0.00044474	0.00044474	0.134357	0.000405406	0.000405406	0.000427762	0.000427762	0.000601152	0.000601152	0.000563373	0.000563373	0.000567755	0.000567755	0.153946	0.000541866	0.000541866	0.000767215	0.000767215	0.000719	0.000719	0.000724592	0.000724592	0.00065541	0.00065541	0.207307	0.842757	2.0768	1.24148	1.57264	2.00707	0.842757	2.0768	1.24148	1.57264	2.00707	0.0989141	0.228897	0.137862	0.158494	0.213039
120	-834.8334	-1041.446	206.6129	0.02315429	0.100091	0.000277923	0.000277923	0.000280084	0.000280084	0.000253343	0.000253343	0.000267313	0.000267313	0.000705269	0.000705269	0.223075	0.000666088	0.000666088	0.000602491	0.000602491	0.000635715	0.000635715	0.000478095	0.000478095	0.00044805	0.00044805	0.152397	0.000408423	0.000408423	0.000430945	0.000430945	0.000577565	0.000577565	0.000541268	0.000541268	0.000545478	0.000545478	0.166526	0.000520604	0.000520604	0.000625491	0.000625491	0.000586183	0.000586183	0.000590742	0.000590742	0.000534339	0.000534339	0.190289	0.870943	2.07125	1.40408	1.6962	1.83696	0.870943	2.07125	1.40408	1.6962	1.83696	0.102249	0.228294	0.155928	0.170895	0.194962
130	-835.7519	-1043.339	207.5867	0.02967635	0.0939551	0.000336617	0.000336617	0.000339235	0.000339235	0.000306846	0.000306846	0.000323766	0.000323766	0.000844449	0.000844449	0.207005	0.000797535	0.000797535	0.000721388	0.000721388	0.000761168	0.000761168	0.000569091	0.000569091	0.000533327	0.000533327	0.14059	0.000486158	0.000486158	0.000512967	0.000512967	0.000763677	0.000763677	0.000715684	0.000715684	0.00072125	0.00072125	0.170648	0.000688362	0.000688362	0.00082455	0.00082455	0.000772732	0.000772732	0.000778742	0.000778742	0.00070439	0.00070439	0.194411	0.823043	1.93496	1.30401	1.74988	1.88936	0.823043	1.93496	1.30401	1.74988	1.88936	0.0965681	0.213254	0.144793	0.176426	0.200572
140	-842.003	-1044.634	202.6312	0.02399164	0.139181	0.000400781	0.000400781	0.000403899	0.000403899	0.000365335	0.000365335	0.000385481	0.000385481	0.000788457	0.000788457	0.240477	0.000744654	0.000744654	0.000673556	0.000673556	0.000710698	0.000710698	0.000482387	0.000482387	0.000452071	0.000452071	0.148271	0.000412089	0.000412089	0.000434813	0.000434813	0.000595512	0.000595512	0.000558087	0.000558087	0.000562428	0.000562428	0.165565	0.000536782	0.000536782	0.000709391	0.000709391	0.00066481	0.00066481	0.000669981	0.000669981	0.000606013	0.000606013	0.208102	1.21212	2.23474	1.36724	1.68787	2.01064	1.21212	2.23474	1.36724	1.68787	2.01064	0.142292	0.246312	0.151833	0.170071	0.213403
150	-841.4499	-1046.965	205.5156	0.03047894	0.086696	0.000319274	0.000319274	0.000321757	0.000321757	0.000291036	0.000291036	0.000307085	0.000307085	0.00103242	0.00103242	0.246216	0.000975064	0.000975064	0.000881967	0.000881967	0.000930602	0.000930602	0.000546593	0.000546593	0.000512242	0.000512242	0.131367	0.000466939	0.000466939	0.000492687	0.000492687	0.000812256	0.000812256	0.00076121	0.00076121	0.000767131	0.000767131	0.176578	0.00073215	0.00073215	0.00091866	0.00091866	0.000860927	0.000860927	0.000867624	0.000867624	0.000784785	0.000784785	0.210722	0.760082	2.30338	1.21948	1.81218	2.04958	0.760082	2.30338	1.21948	1.81218	2.04958	0.0891743	0.253856	0.135404	0.182723	0.217586
160	-845.0722	-1043.064	197.9915	0.02176588	0.0923398	0.000240682	0.000240682	0.000242554	0.000242554	0.000219396	0.000219396	0.000231494	0.000231494	0.000698258	0.000698258	0.23528	0.000659466	0.000659466	0.000596502	0.000596502	0.000629395	0.000629395	0.000488977	0.000488977	0.000458247	0.000458247	0.166043	0.000417719	0.000417719	0.000440753	0.000440753	0.000587266	0.000587266	0.000550359	0.000550359	0.00055464	0.00055464	0.180379	0.000529349	0.000529349	0.000578257	0.000578257	0.000541917	0.000541917	0.000546132	0.000546132	0.000493989	0.000493989	0.187407	0.802352	2.18147	1.52764	1.83471	1.80657	0.802352	2.18147	1.52764	1.83471	1.80657	0.0942081	0.240447	0.169655	0.184823	0.191727
170	-849.0338	-1046.756	197.7221	0.03581901	0.0844449	0.000367494	0.000367494	0.000370352	0.000370352	0.000334992	0.000334992	0.000353465	0.000353465	0.00100814	0.00100814	0.203454	0.000952131	0.000952131	0.000861224	0.000861224	0.000908714	0.000908714	0.000684692	0.000684692	0.000641663	0.000641663	0.139254	0.000584913	0.000584913	0.000617166	0.000617166	0.000888206	0.000888206	0.000832387	0.000832387	0.000838861	0.000838861	0.163397	0.000800609	0.000800609	0.000951442	0.000951442	0.000891649	0.000891649	0.000898584	0.000898584	0.00081279	0.00081279	0.184682	0.744447	1.91388	1.29984	1.6862	1.80625	0.744447	1.91388	1.29984	1.6862	1.80625	0.0872975	0.210915	0.14431	0.170117	0.191791
180	-833.2587	-1044.722	211.4633	0.01651948	0.12117	0.000238422	0.000238422	0.000240276	0.000240276	0.000217335	0.000217335	0.00022932	0.00022932	0.000502219	0.000502219	0.224163	0.000474318	0.000474318	0.000429032	0.000429032	0.00045269	0.00045269	0.000342523	0.000342523	0.000320997	0.000320997	0.154073	0.000292608	0.000292608	0.000308743	0.000308743	0.000396676	0.000396676	0.000371747	0.000371747	0.000374639	0.000374639	0.161395	0.000357555	0.000357555	0.000459566	0.000459566	0.000430685	0.000430685	0.000434035	0.000434035	0.000392594	0.000392594	0.197294	1.04724	2.06731	1.40995	1.63286	1.89174	1.04724	2.06731	1.40995	1.63286	1.89174	0.12302	0.22788	0.156602	0.164397	0.200728
190	-841.3294	-1043.199	201.8701	0.03486533	0.120096	0.000508225	0.000508225	0.000512178	0.000512178	0.000463277	0.000463277	0.000488823	0.000488823	0.00108669	0.00108669	0.225529	0.00102632	0.00102632	0.000928332	0.000928332	0.000979523	0.000979523	0.000746529	0.000746529	0.000699614	0.000699614	0.156137	0.000637738	0.000637738	0.000672905	0.000672905	0.000871387	0.000871387	0.000816625	0.000816625	0.000822977	0.000822977	0.164851	0.000785449	0.000785449	0.000941738	0.000941738	0.000882555	0.000882555	0.000889419	0.000889419	0.000804499	0.000804499	0.187984	1.05769	2.11945	1.456	1.69952	1.83673	1.05769	2.11945	1.456	1.69952	1.83673	0.124041	0.233571	0.161651	0.171444	0.195021
