"","variable","idx","true","mean","lower","upper","covered","ntips"
"1","R0",1,9.950283024,9.53566589175461,8.6203484216359,10.6344213345759,TRUE,82
"2","R0",3,6.8924546449,5.28876173848398,4.00734006875532,6.0869131669434,FALSE,2
"3","R0",4,8.727938917,8.14098598494108,6.23777139158382,10.4730900644076,TRUE,9
"4","R0",6,8.7959126126,8.52324571557326,8.18651136871643,8.9032714656105,TRUE,470
"5","R0",8,7.6711379977,7.68062133483526,7.50563056878877,7.83267303097029,TRUE,499
"6","R0",9,7.9371947038,5.74316027480472,4.44318769341893,6.9231056961367,FALSE,10
"7","R0",10,10.3477088677,9.91348815495601,8.86395541914884,11.7046322175359,TRUE,20
"8","R0",11,6.0289441478,5.97359091561815,4.502390257457,7.0804113339037,TRUE,12
"9","R0",13,11.6716438644,11.3608961273063,11.0288345744748,11.7035031205562,TRUE,499
"10","R0",14,8.2073660673,7.97786109126081,6.68557882528392,9.03669871447995,TRUE,27
"11","R0",20,9.853083497,10.012598424158,9.62579269470921,10.4658001427661,TRUE,290
"12","R0",21,5.3388670352,5.35573749819037,5.17572252163376,5.59557663230807,TRUE,268
"13","R0",23,6.6285926391,6.63335512779791,6.46093573292647,6.80676854132147,TRUE,499
"14","R0",24,6.2665557569,6.42614908394866,6.21380943184993,6.62813716688363,TRUE,499
"15","R0",25,4.8643201055,5.01436229973371,4.65240070283413,5.37596460115571,TRUE,96
"16","R0",26,5.5630043529,5.63064065392861,5.45390748197755,5.81457430468178,TRUE,461
"17","R0",28,5.7161792581,5.78546121149541,4.00906454599608,7.06638136095191,TRUE,2
"18","R0",29,9.330027124,9.19258959541326,9.03054554665944,9.408529117495,TRUE,499
"19","R0",30,6.7912235105,6.84030829775319,6.48185134388721,7.13540442123855,TRUE,228
"20","R0",31,5.6026892791,5.61120875029708,5.25450017764729,5.98848257587839,TRUE,112
"21","R0",32,9.3202313549,8.890989261925,8.57650548932443,9.10336933990969,FALSE,499
"22","R0",35,11.7432615413,11.3442412082795,11.0629334555588,11.7030440184155,FALSE,499
"23","R0",39,10.1930960604,9.93095930098644,9.72934500978074,10.1576515743152,FALSE,499
"24","R0",40,5.0716290811,5.72063103935527,4.0002819195007,6.70859876982132,TRUE,3
"25","R0",42,10.7036035711,10.7910181746515,10.4268934567097,11.1465515530468,TRUE,499
