,Hubei,France,Germany,Italy,OtherEU
Hubei,0,3.75140704500979e-06,3.03360469667319e-06,6.19953033268102e-06,1.52462667713583e-05
France,1.76487078393001e-07,0,7.88503626107977e-05,0.000140374778404512,0.000682392598436707
Germany,7.15252561298492e-07,0.000208465979049154,0,0.000374960419016922,0.00144236114290006
Italy,1.55723892699707e-07,5.99917351598173e-05,4.5411095890411e-05,0,0.000697070272668783
OtherEU,4.10248731304186e-07,0.000210715691859068,0.000235947517958095,0.000195440839740311,0
