,Hubei,France,Germany,Italy,OtherEU
Hubei,0,0.0663553877900142,0.0663553877900142,0.0663553877900142,0.0663553877900142
France,0.0601207343302698,0,0.258282341777707,0.155089172996062,0.167997069946028
Germany,0.0725082574284928,0.120420194182089,0,0.128745266239257,0.139985736847362
Italy,0.0673377225365724,0.1420437001319,0.161671159415248,0,0.173390990148968
OtherEU,0.0654548368647217,0.137728666867682,0.186811610444644,0.134477948437564,0
