1   0 0 0
2   1 1 1
3   2 2 2
4   3 3 3
5   4 4 4
6   5 5 0
7   5 0 5
8   6 6 1
9   6 1 6
10   7 7 2
11   7 2 7
12   8 8 3
13   8 3 8
14   9 9 4
15   9 4 9
16   10 10 0
17   10 0 10
18   11 11 1
19   11 1 11
20   12 12 2
21   12 2 12
22   13 13 3
23   13 3 13
24   14 14 4
25   14 4 14
26   15 15 0
27   15 0 15
28   16 16 1
29   16 1 16
30   17 17 2
31   17 2 17
32   18 18 3
33   18 3 18
34   19 19 4
35   19 4 19
36   20 20 0
37   20 0 20
38   21 21 1
39   21 1 21
40   22 22 2
41   22 2 22
42   23 23 3
43   23 3 23
44   24 24 4
45   24 4 24
46   0 0 5
47   0 5 0
48   1 1 6
49   1 6 1
50   2 2 7
51   2 7 2
52   3 3 8
53   3 8 3
54   4 4 9
55   4 9 4
56   5 5 5
57   6 6 6
58   7 7 7
59   8 8 8
60   9 9 9
61   10 10 5
62   10 5 10
63   11 11 6
64   11 6 11
65   12 12 7
66   12 7 12
67   13 13 8
68   13 8 13
69   14 14 9
70   14 9 14
71   15 15 5
72   15 5 15
73   16 16 6
74   16 6 16
75   17 17 7
76   17 7 17
77   18 18 8
78   18 8 18
79   19 19 9
80   19 9 19
81   20 20 5
82   20 5 20
83   21 21 6
84   21 6 21
85   22 22 7
86   22 7 22
87   23 23 8
88   23 8 23
89   24 24 9
90   24 9 24
91   0 0 10
92   0 10 0
93   1 1 11
94   1 11 1
95   2 2 12
96   2 12 2
97   3 3 13
98   3 13 3
99   4 4 14
100   4 14 4
101   5 5 10
102   5 10 5
103   6 6 11
104   6 11 6
105   7 7 12
106   7 12 7
107   8 8 13
108   8 13 8
109   9 9 14
110   9 14 9
111   10 10 10
112   11 11 11
113   12 12 12
114   13 13 13
115   14 14 14
116   15 15 10
117   15 10 15
118   16 16 11
119   16 11 16
120   17 17 12
121   17 12 17
122   18 18 13
123   18 13 18
124   19 19 14
125   19 14 19
126   20 20 10
127   20 10 20
128   21 21 11
129   21 11 21
130   22 22 12
131   22 12 22
132   23 23 13
133   23 13 23
134   24 24 14
135   24 14 24
136   0 0 15
137   0 15 0
138   1 1 16
139   1 16 1
140   2 2 17
141   2 17 2
142   3 3 18
143   3 18 3
144   4 4 19
145   4 19 4
146   5 5 15
147   5 15 5
148   6 6 16
149   6 16 6
150   7 7 17
151   7 17 7
152   8 8 18
153   8 18 8
154   9 9 19
155   9 19 9
156   10 10 15
157   10 15 10
158   11 11 16
159   11 16 11
160   12 12 17
161   12 17 12
162   13 13 18
163   13 18 13
164   14 14 19
165   14 19 14
166   15 15 15
167   16 16 16
168   17 17 17
169   18 18 18
170   19 19 19
171   20 20 15
172   20 15 20
173   21 21 16
174   21 16 21
175   22 22 17
176   22 17 22
177   23 23 18
178   23 18 23
179   24 24 19
180   24 19 24
181   0 0 20
182   0 20 0
183   1 1 21
184   1 21 1
185   2 2 22
186   2 22 2
187   3 3 23
188   3 23 3
189   4 4 24
190   4 24 4
191   5 5 20
192   5 20 5
193   6 6 21
194   6 21 6
195   7 7 22
196   7 22 7
197   8 8 23
198   8 23 8
199   9 9 24
200   9 24 9
201   10 10 20
202   10 20 10
203   11 11 21
204   11 21 11
205   12 12 22
206   12 22 12
207   13 13 23
208   13 23 13
209   14 14 24
210   14 24 14
211   15 15 20
212   15 20 15
213   16 16 21
214   16 21 16
215   17 17 22
216   17 22 17
217   18 18 23
218   18 23 18
219   19 19 24
220   19 24 19
221   20 20 20
222   21 21 21
223   22 22 22
224   23 23 23
225   24 24 24
