Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	ma_base_rate	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-1037.866	-1053.961	16.09544	0.05194288	0.126823	0.00094642	0.00094642	0.000861736	0.000861736	0.000863065	0.000863065	0.000874998	0.000874998	0.000885543	0.000885543	0.140894	0.000878585	0.000878585	0.000879939	0.000879939	0.000892105	0.000892105	0.00239961	0.00239961	0.00261471	0.00261471	0.347626	0.00238442	0.00238442	0.00241739	0.00241739	0.00146148	0.00146148	0.00159249	0.00159249	0.00144999	0.00144999	0.212048	0.00147231	0.00147231	0.00141915	0.00141915	0.00154636	0.00154636	0.001408	0.001408	0.00141017	0.00141017	0.208753	0.000853355	0.00989394	6.08551e-05	0.000215092	0.0016007	0.00846134	0.0900317	0.000608181	0.0021463	0.0157548	0.0001556618	1.3264	1.35233	3.66449	2.23185	2.16721	1.3264	1.35233	3.66449	2.23185	2.16721	0.133916	0.147966	0.367259	0.224	0.22032
110	-1037.122	-1052.947	15.82578	0.04920473	0.126028	0.000891987	0.000891987	0.000810736	0.000810736	0.000812602	0.000812602	0.000814643	0.000814643	0.000704538	0.000704538	0.119162	0.000700627	0.000700627	0.00070224	0.00070224	0.000704003	0.000704003	0.00230457	0.00230457	0.00252146	0.00252146	0.354277	0.00229706	0.00229706	0.00230282	0.00230282	0.00118135	0.00118135	0.00129253	0.00129253	0.00117479	0.00117479	0.182025	0.00118045	0.00118045	0.0017619	0.0017619	0.00192771	0.00192771	0.00175212	0.00175212	0.00175615	0.00175615	0.272158	0.000658856	0.010132	9.99866e-05	0.000330449	0.000582386	0.00654543	0.0919984	0.000998867	0.00329361	0.00579014	0.0001403668	1.31683	1.13798	3.72239	1.90814	2.84585	1.31683	1.13798	3.72239	1.90814	2.84585	0.132688	0.124784	0.373129	0.191683	0.286553
120	-1002.225	-1018.436	16.2111	0.02038961	0.139932	0.000368458	0.000368458	0.000363894	0.000363894	0.000361712	0.000361712	0.000372036	0.000372036	0.000675294	0.000675294	0.262683	0.000674971	0.000674971	0.000670924	0.000670924	0.000690073	0.000690073	0.000596133	0.000596133	0.00060332	0.00060332	0.229018	0.000592275	0.000592275	0.000609179	0.000609179	0.000549188	0.000549188	0.00055581	0.00055581	0.000548925	0.000548925	0.209718	0.000561207	0.000561207	0.000624186	0.000624186	0.000631712	0.000631712	0.000623887	0.000623887	0.000620146	0.000620146	0.24516	0.000860735	0.00207679	0.00081239	0.000208011	0.00306799	0.0085339	0.0203454	0.00805843	0.00207579	0.0297667	0.000126011	1.41626	2.62695	2.31901	2.13639	2.42814	1.41626	2.62695	2.31901	2.13639	2.42814	0.142864	0.268106	0.23382	0.214148	0.25016
130	-995.8449	-1012.001	16.15568	0.04181069	0.116703	0.000634323	0.000634323	0.000648424	0.000648424	0.000626873	0.000626873	0.000634698	0.000634698	0.00166488	0.00166488	0.304174	0.00169596	0.00169596	0.0016396	0.0016396	0.00166006	0.00166006	0.00082638	0.00082638	0.000823501	0.000823501	0.154336	0.000813829	0.000813829	0.000823988	0.000823988	0.00106449	0.00106449	0.00106078	0.00106078	0.00108436	0.00108436	0.192198	0.00106141	0.00106141	0.00146743	0.00146743	0.00146232	0.00146232	0.00149482	0.00149482	0.00144514	0.00144514	0.268258	0.00182132	0.00146652	0.00372212	0.000274819	0.00152659	0.0178874	0.0144533	0.0358855	0.00274066	0.0150363	0.0001407921	1.19616	3.12858	1.5529	2.00035	2.75754	1.19616	3.12858	1.5529	2.00035	2.75754	0.121791	0.317495	0.160911	0.20074	0.279997
140	-993.8677	-1009.628	15.7598	0.02211047	0.138429	0.000393166	0.000393166	0.000403149	0.000403149	0.000389112	0.000389112	0.000391825	0.000391825	0.000868698	0.000868698	0.308873	0.000895134	0.000895134	0.000863968	0.000863968	0.000869992	0.000869992	0.000405124	0.000405124	0.000407116	0.000407116	0.147703	0.000402918	0.000402918	0.000405727	0.000405727	0.000585605	0.000585605	0.000588484	0.000588484	0.000603426	0.000603426	0.20607	0.000586477	0.000586477	0.00075859	0.00075859	0.000762318	0.000762318	0.000781675	0.000781675	0.000754459	0.000754459	0.268803	0.000972719	0.00146903	0.00404547	0.000422901	0.00112303	0.00963348	0.0144776	0.0388817	0.0042112	0.0111056	9.552626e-05	1.40196	3.11284	1.4517	2.09842	2.71829	1.40196	3.11284	1.4517	2.09842	2.71829	0.141584	0.315869	0.150945	0.210798	0.274918
150	-997.0118	-1012.213	15.20137	0.0296118	0.123652	0.000470471	0.000470471	0.000472647	0.000472647	0.000465976	0.000465976	0.000469747	0.000469747	0.00127987	0.00127987	0.334689	0.00128255	0.00128255	0.00126445	0.00126445	0.00127468	0.00127468	0.000546179	0.000546179	0.000544802	0.000544802	0.143487	0.000539597	0.000539597	0.000543963	0.000543963	0.000836161	0.000836161	0.000834054	0.000834054	0.000837911	0.000837911	0.216568	0.000832769	0.000832769	0.00109811	0.00109811	0.00109534	0.00109534	0.00110041	0.00110041	0.00108488	0.00108488	0.286716	0.00153559	0.00127972	0.00174816	0.000312025	0.00112377	0.0151237	0.0126355	0.0171812	0.00311054	0.0111128	0.000268353	1.25498	3.40544	1.45325	2.22483	2.92182	1.25498	3.40544	1.45325	2.22483	2.92182	0.127409	0.344892	0.147836	0.22325	0.295474
160	-994.8988	-1010.124	15.22542	0.02002794	0.142274	0.000365392	0.000365392	0.000373071	0.000373071	0.000362509	0.000362509	0.000365763	0.000365763	0.000749315	0.000749315	0.294872	0.000769129	0.000769129	0.000747353	0.000747353	0.000754063	0.000754063	0.000476441	0.000476441	0.000478973	0.000478973	0.191431	0.000475194	0.000475194	0.00047946	0.00047946	0.000563127	0.000563127	0.000566119	0.000566119	0.000578017	0.000578017	0.219854	0.000566694	0.000566694	0.000638086	0.000638086	0.000641477	0.000641477	0.000654959	0.000654959	0.000636415	0.000636415	0.251356	0.000640155	0.00117493	0.00330136	0.000376591	0.0012778	0.00636083	0.0116129	0.0319585	0.00375178	0.0126167	0.0003017787	1.44258	2.97404	1.891	2.23506	2.53257	1.44258	2.97404	1.891	2.23506	2.53257	0.145207	0.300912	0.195251	0.224402	0.256498
170	-990.5307	-1006.45	15.9189	0.02739925	0.135602	0.000482793	0.000482793	0.000484315	0.000484315	0.000475804	0.000475804	0.000483044	0.000483044	0.00103326	0.00103326	0.296673	0.001048	0.001048	0.00102958	0.00102958	0.00104524	0.00104524	0.000747729	0.000747729	0.000756008	0.000756008	0.215367	0.000745063	0.000745063	0.0007564	0.0007564	0.000793956	0.000793956	0.000802747	0.000802747	0.000805278	0.000805278	0.224663	0.000803163	0.000803163	0.000832369	0.000832369	0.000841584	0.000841584	0.000844238	0.000844238	0.000829401	0.000829401	0.239116	0.000634433	0.00174859	0.00206943	0.000275603	0.00180141	0.00630434	0.0171854	0.0202747	0.00274845	0.0176953	0.000113361	1.38543	2.99789	2.16945	2.30357	2.41502	1.38543	2.99789	2.16945	2.30357	2.41502	0.139454	0.304985	0.221378	0.231073	0.245811
180	-996.0914	-1010.746	14.65467	0.03117308	0.120897	0.000483711	0.000483711	0.000482572	0.000482572	0.00047924	0.00047924	0.000484422	0.000484422	0.00125848	0.00125848	0.311265	0.00124896	0.00124896	0.00124034	0.00124034	0.00125375	0.00125375	0.000765591	0.000765591	0.000761592	0.000761592	0.18891	0.000754552	0.000754552	0.00076271	0.00076271	0.000915013	0.000915013	0.000910233	0.000910233	0.00090809	0.00090809	0.224221	0.00091157	0.00091157	0.00109277	0.00109277	0.00108707	0.00108707	0.00108451	0.00108451	0.00107702	0.00107702	0.270676	0.00193796	0.00140551	0.00116674	0.000468103	0.00155441	0.0190112	0.0138603	0.0115328	0.00465922	0.0153062	0.0003345497	1.22415	3.16827	1.9274	2.30357	2.75109	1.22415	3.16827	1.9274	2.30357	2.75109	0.124757	0.321268	0.194999	0.231511	0.279359
190	-993.0806	-1005.768	12.68758	0.02375403	0.127223	0.000387406	0.000387406	0.000392519	0.000392519	0.000383902	0.000383902	0.000388142	0.000388142	0.00097906	0.00097906	0.322281	0.000993156	0.000993156	0.000971352	0.000971352	0.00098208	0.00098208	0.000556772	0.000556772	0.000557431	0.000557431	0.185694	0.000552389	0.000552389	0.00055849	0.00055849	0.000698557	0.000698557	0.000699384	0.000699384	0.000708615	0.000708615	0.227867	0.000700712	0.000700712	0.00079362	0.00079362	0.00079456	0.00079456	0.000805047	0.000805047	0.000787373	0.000787373	0.261735	0.000923312	0.00104276	0.00237642	0.000128834	0.00123463	0.00914865	0.0103199	0.0232125	0.00128669	0.0121957	0.0005407774	1.29126	3.26716	1.85797	2.33111	2.64834	1.29126	3.26716	1.85797	2.33111	2.64834	0.130327	0.330132	0.190144	0.233481	0.268097
200	-991.5484	-1007.742	16.19361	0.03276256	0.142586	0.000607483	0.000607483	0.0006215	0.0006215	0.000601864	0.000601864	0.000610206	0.000610206	0.00134929	0.00134929	0.320666	0.00138904	0.00138904	0.00134516	0.00134516	0.0013638	0.0013638	0.000647496	0.000647496	0.000651541	0.000651541	0.157432	0.000645514	0.000645514	0.000654461	0.000654461	0.000871765	0.000871765	0.00087721	0.00087721	0.00089745	0.00089745	0.205264	0.000881141	0.000881141	0.000980529	0.000980529	0.000986654	0.000986654	0.00100942	0.00100942	0.000977527	0.000977527	0.234073	0.000717507	0.00134657	0.00368494	0.000409111	0.00180079	0.00712396	0.0132868	0.0355398	0.00407444	0.0176894	0.0001304095	1.46365	3.27123	1.5698	2.11352	2.37721	1.46365	3.27123	1.5698	2.11352	2.37721	0.147468	0.331561	0.16263	0.212319	0.241982
