param,value
S0_0_0_0,950043
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,950043
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,950043
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,950043
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,950043
R0_0,2.3013986489
R0_1,2.3013986489
R0_2,2.3013986489
R0_3,2.3013986489
R0_4,2.3013986489
Sample_0,0.0990757101
Sample_1,0.0990757101
Sample_2,0.0990757101
Sample_3,0.0990757101
Sample_4,0.0990757101
Recover_0,0.1527712667
Recover_1,0.1527712667
Recover_2,0.1527712667
Recover_3,0.1527712667
Recover_4,0.1527712667
Stop_time_0,7.8355596771
Time_of_interest_0,5.1222783022
nSampled_tips_0,380
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,950043
Total_S0_1,950043
Total_S0_2,950043
Total_S0_3,950043
Total_S0_4,950043
Infect_0,6.101e-07
Infect_1,6.101e-07
Infect_2,6.101e-07
Infect_3,6.101e-07
Infect_4,6.101e-07
VisitDepart_0_0,0.0045622308
VisitDepart_0_1,0.0045622308
VisitDepart_0_2,0.0045622308
VisitDepart_0_3,0.0045622308
VisitDepart_0_4,0.0045622308
VisitDepart_1_0,0.0045622308
VisitDepart_1_1,0.0045622308
VisitDepart_1_2,0.0045622308
VisitDepart_1_3,0.0045622308
VisitDepart_1_4,0.0045622308
VisitDepart_2_0,0.0045622308
VisitDepart_2_1,0.0045622308
VisitDepart_2_2,0.0045622308
VisitDepart_2_3,0.0045622308
VisitDepart_2_4,0.0045622308
VisitDepart_3_0,0.0045622308
VisitDepart_3_1,0.0045622308
VisitDepart_3_2,0.0045622308
VisitDepart_3_3,0.0045622308
VisitDepart_3_4,0.0045622308
VisitDepart_4_0,0.0045622308
VisitDepart_4_1,0.0045622308
VisitDepart_4_2,0.0045622308
VisitDepart_4_3,0.0045622308
VisitDepart_4_4,0.0045622308
VisitReturn_0_0,0.2868216084
VisitReturn_0_1,0.2868216084
VisitReturn_0_2,0.2868216084
VisitReturn_0_3,0.2868216084
VisitReturn_0_4,0.2868216084
VisitReturn_1_0,0.2868216084
VisitReturn_1_1,0.2868216084
VisitReturn_1_2,0.2868216084
VisitReturn_1_3,0.2868216084
VisitReturn_1_4,0.2868216084
VisitReturn_2_0,0.2868216084
VisitReturn_2_1,0.2868216084
VisitReturn_2_2,0.2868216084
VisitReturn_2_3,0.2868216084
VisitReturn_2_4,0.2868216084
VisitReturn_3_0,0.2868216084
VisitReturn_3_1,0.2868216084
VisitReturn_3_2,0.2868216084
VisitReturn_3_3,0.2868216084
VisitReturn_3_4,0.2868216084
VisitReturn_4_0,0.2868216084
VisitReturn_4_1,0.2868216084
VisitReturn_4_2,0.2868216084
VisitReturn_4_3,0.2868216084
VisitReturn_4_4,0.2868216084
VisitStationaryFreqs_0_0,0.9401812984
VisitStationaryFreqs_0_1,0.0149546754
VisitStationaryFreqs_0_2,0.0149546754
VisitStationaryFreqs_0_3,0.0149546754
VisitStationaryFreqs_0_4,0.0149546754
VisitStationaryFreqs_1_0,0.0149546754
VisitStationaryFreqs_1_1,0.9401812984
VisitStationaryFreqs_1_2,0.0149546754
VisitStationaryFreqs_1_3,0.0149546754
VisitStationaryFreqs_1_4,0.0149546754
VisitStationaryFreqs_2_0,0.0149546754
VisitStationaryFreqs_2_1,0.0149546754
VisitStationaryFreqs_2_2,0.9401812984
VisitStationaryFreqs_2_3,0.0149546754
VisitStationaryFreqs_2_4,0.0149546754
VisitStationaryFreqs_3_0,0.0149546754
VisitStationaryFreqs_3_1,0.0149546754
VisitStationaryFreqs_3_2,0.0149546754
VisitStationaryFreqs_3_3,0.9401812984
VisitStationaryFreqs_3_4,0.0149546754
VisitStationaryFreqs_4_0,0.0149546754
VisitStationaryFreqs_4_1,0.0149546754
VisitStationaryFreqs_4_2,0.0149546754
VisitStationaryFreqs_4_3,0.0149546754
VisitStationaryFreqs_4_4,0.9401812984
VisitApproxInfect_0_0,5.736e-07
VisitApproxInfect_0_1,9.1e-09
VisitApproxInfect_0_2,9.1e-09
VisitApproxInfect_0_3,9.1e-09
VisitApproxInfect_0_4,9.1e-09
VisitApproxInfect_1_0,9.1e-09
VisitApproxInfect_1_1,5.736e-07
VisitApproxInfect_1_2,9.1e-09
VisitApproxInfect_1_3,9.1e-09
VisitApproxInfect_1_4,9.1e-09
VisitApproxInfect_2_0,9.1e-09
VisitApproxInfect_2_1,9.1e-09
VisitApproxInfect_2_2,5.736e-07
VisitApproxInfect_2_3,9.1e-09
VisitApproxInfect_2_4,9.1e-09
VisitApproxInfect_3_0,9.1e-09
VisitApproxInfect_3_1,9.1e-09
VisitApproxInfect_3_2,9.1e-09
VisitApproxInfect_3_3,5.736e-07
VisitApproxInfect_3_4,9.1e-09
VisitApproxInfect_4_0,9.1e-09
VisitApproxInfect_4_1,9.1e-09
VisitApproxInfect_4_2,9.1e-09
VisitApproxInfect_4_3,9.1e-09
VisitApproxInfect_4_4,5.736e-07
StartState_0,3
StartState_1,3
actual_sim_time_0,7.8355596771
SampleCount_0,0.0
SampleCount_1,0.0
SampleCount_2,0.0
SampleCount_3,3.0
SampleCount_4,0.0
total_sampled_0,3.0
num_sampled_per_capita_0,0.0
num_sampled_per_capita_1,0.0
num_sampled_per_capita_2,0.0
num_sampled_per_capita_3,3.1578e-06
num_sampled_per_capita_4,0.0
Prevalence_0,0.0
Prevalence_1,0.0
Prevalence_2,0.0
Prevalence_3,3.0
Prevalence_4,0.0
per_capita_prevalence_at_t_0,0.0
per_capita_prevalence_at_t_1,0.0
per_capita_prevalence_at_t_2,0.0
per_capita_prevalence_at_t_3,3.1578e-06
per_capita_prevalence_at_t_4,0.0
final_Susceptible_0_0_0,950042.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,950043.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,950043.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,950031.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,950042.0
final_Contagious_0_0_0,0.0
final_Contagious_0_1_0,0.0
final_Contagious_0_2_0,0.0
final_Contagious_0_3_0,1.0
final_Contagious_0_4_0,0.0
final_Contagious_1_0_0,0.0
final_Contagious_1_1_0,0.0
final_Contagious_1_2_0,0.0
final_Contagious_1_3_0,0.0
final_Contagious_1_4_0,0.0
final_Contagious_2_0_0,0.0
final_Contagious_2_1_0,0.0
final_Contagious_2_2_0,0.0
final_Contagious_2_3_0,0.0
final_Contagious_2_4_0,0.0
final_Contagious_3_0_0,1.0
final_Contagious_3_1_0,0.0
final_Contagious_3_2_0,0.0
final_Contagious_3_3_0,8.0
final_Contagious_3_4_0,0.0
final_Contagious_4_0_0,0.0
final_Contagious_4_1_0,0.0
final_Contagious_4_2_0,0.0
final_Contagious_4_3_0,0.0
final_Contagious_4_4_0,0.0
final_Recovered_0_0_0,0.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
