param,value
S0_0_0_0,431243
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,431243
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,431243
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,431243
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,431243
R0_0,5.0502218204
R0_1,5.0502218204
R0_2,5.0502218204
R0_3,5.0502218204
R0_4,5.0502218204
Sample_0,0.0863790006
Sample_1,0.0863790006
Sample_2,0.0863790006
Sample_3,0.0863790006
Sample_4,0.0863790006
Recover_0,0.449225024
Recover_1,0.449225024
Recover_2,0.449225024
Recover_3,0.449225024
Recover_4,0.449225024
Stop_time_0,13.8151746508
Time_of_interest_0,34.51423774
nSampled_tips_0,384
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,431243
Total_S0_1,431243
Total_S0_2,431243
Total_S0_3,431243
Total_S0_4,431243
Infect_0,6.2724e-06
Infect_1,6.2724e-06
Infect_2,6.2724e-06
Infect_3,6.2724e-06
Infect_4,6.2724e-06
VisitDepart_0_0,0.0015241266
VisitDepart_0_1,0.0015241266
VisitDepart_0_2,0.0015241266
VisitDepart_0_3,0.0015241266
VisitDepart_0_4,0.0015241266
VisitDepart_1_0,0.0015241266
VisitDepart_1_1,0.0015241266
VisitDepart_1_2,0.0015241266
VisitDepart_1_3,0.0015241266
VisitDepart_1_4,0.0015241266
VisitDepart_2_0,0.0015241266
VisitDepart_2_1,0.0015241266
VisitDepart_2_2,0.0015241266
VisitDepart_2_3,0.0015241266
VisitDepart_2_4,0.0015241266
VisitDepart_3_0,0.0015241266
VisitDepart_3_1,0.0015241266
VisitDepart_3_2,0.0015241266
VisitDepart_3_3,0.0015241266
VisitDepart_3_4,0.0015241266
VisitDepart_4_0,0.0015241266
VisitDepart_4_1,0.0015241266
VisitDepart_4_2,0.0015241266
VisitDepart_4_3,0.0015241266
VisitDepart_4_4,0.0015241266
VisitReturn_0_0,0.3329115531
VisitReturn_0_1,0.3329115531
VisitReturn_0_2,0.3329115531
VisitReturn_0_3,0.3329115531
VisitReturn_0_4,0.3329115531
VisitReturn_1_0,0.3329115531
VisitReturn_1_1,0.3329115531
VisitReturn_1_2,0.3329115531
VisitReturn_1_3,0.3329115531
VisitReturn_1_4,0.3329115531
VisitReturn_2_0,0.3329115531
VisitReturn_2_1,0.3329115531
VisitReturn_2_2,0.3329115531
VisitReturn_2_3,0.3329115531
VisitReturn_2_4,0.3329115531
VisitReturn_3_0,0.3329115531
VisitReturn_3_1,0.3329115531
VisitReturn_3_2,0.3329115531
VisitReturn_3_3,0.3329115531
VisitReturn_3_4,0.3329115531
VisitReturn_4_0,0.3329115531
VisitReturn_4_1,0.3329115531
VisitReturn_4_2,0.3329115531
VisitReturn_4_3,0.3329115531
VisitReturn_4_4,0.3329115531
VisitStationaryFreqs_0_0,0.9820166334
VisitStationaryFreqs_0_1,0.0044958416
VisitStationaryFreqs_0_2,0.0044958416
VisitStationaryFreqs_0_3,0.0044958416
VisitStationaryFreqs_0_4,0.0044958416
VisitStationaryFreqs_1_0,0.0044958416
VisitStationaryFreqs_1_1,0.9820166334
VisitStationaryFreqs_1_2,0.0044958416
VisitStationaryFreqs_1_3,0.0044958416
VisitStationaryFreqs_1_4,0.0044958416
VisitStationaryFreqs_2_0,0.0044958416
VisitStationaryFreqs_2_1,0.0044958416
VisitStationaryFreqs_2_2,0.9820166334
VisitStationaryFreqs_2_3,0.0044958416
VisitStationaryFreqs_2_4,0.0044958416
VisitStationaryFreqs_3_0,0.0044958416
VisitStationaryFreqs_3_1,0.0044958416
VisitStationaryFreqs_3_2,0.0044958416
VisitStationaryFreqs_3_3,0.9820166334
VisitStationaryFreqs_3_4,0.0044958416
VisitStationaryFreqs_4_0,0.0044958416
VisitStationaryFreqs_4_1,0.0044958416
VisitStationaryFreqs_4_2,0.0044958416
VisitStationaryFreqs_4_3,0.0044958416
VisitStationaryFreqs_4_4,0.9820166334
VisitApproxInfect_0_0,6.1596e-06
VisitApproxInfect_0_1,2.82e-08
VisitApproxInfect_0_2,2.82e-08
VisitApproxInfect_0_3,2.82e-08
VisitApproxInfect_0_4,2.82e-08
VisitApproxInfect_1_0,2.82e-08
VisitApproxInfect_1_1,6.1596e-06
VisitApproxInfect_1_2,2.82e-08
VisitApproxInfect_1_3,2.82e-08
VisitApproxInfect_1_4,2.82e-08
VisitApproxInfect_2_0,2.82e-08
VisitApproxInfect_2_1,2.82e-08
VisitApproxInfect_2_2,6.1596e-06
VisitApproxInfect_2_3,2.82e-08
VisitApproxInfect_2_4,2.82e-08
VisitApproxInfect_3_0,2.82e-08
VisitApproxInfect_3_1,2.82e-08
VisitApproxInfect_3_2,2.82e-08
VisitApproxInfect_3_3,6.1596e-06
VisitApproxInfect_3_4,2.82e-08
VisitApproxInfect_4_0,2.82e-08
VisitApproxInfect_4_1,2.82e-08
VisitApproxInfect_4_2,2.82e-08
VisitApproxInfect_4_3,2.82e-08
VisitApproxInfect_4_4,6.1596e-06
StartState_0,2
StartState_1,2
actual_sim_time_0,4.9922703192
SampleCount_0,1.0
SampleCount_1,0.0
SampleCount_2,414.0
SampleCount_3,2.0
SampleCount_4,0.0
total_sampled_0,417.0
num_sampled_per_capita_0,2.3189e-06
num_sampled_per_capita_1,0.0
num_sampled_per_capita_2,0.0009600156
num_sampled_per_capita_3,4.6378e-06
num_sampled_per_capita_4,0.0
Prevalence_0,49.0
Prevalence_1,16.0
Prevalence_2,9640.0
Prevalence_3,57.0
Prevalence_4,46.0
per_capita_prevalence_at_t_0,0.000113625
per_capita_prevalence_at_t_1,3.71021e-05
per_capita_prevalence_at_t_2,0.022353986
per_capita_prevalence_at_t_3,0.0001321761
per_capita_prevalence_at_t_4,0.0001066684
final_Susceptible_0_0_0,431148.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,431181.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,419413.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,431126.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,431151.0
final_Contagious_0_0_0,44.0
final_Contagious_0_1_0,0.0
final_Contagious_0_2_0,30.0
final_Contagious_0_3_0,0.0
final_Contagious_0_4_0,1.0
final_Contagious_1_0_0,0.0
final_Contagious_1_1_0,11.0
final_Contagious_1_2_0,41.0
final_Contagious_1_3_0,0.0
final_Contagious_1_4_0,0.0
final_Contagious_2_0_0,5.0
final_Contagious_2_1_0,5.0
final_Contagious_2_2_0,9490.0
final_Contagious_2_3_0,2.0
final_Contagious_2_4_0,5.0
final_Contagious_3_0_0,0.0
final_Contagious_3_1_0,0.0
final_Contagious_3_2_0,39.0
final_Contagious_3_3_0,55.0
final_Contagious_3_4_0,0.0
final_Contagious_4_0_0,0.0
final_Contagious_4_1_0,0.0
final_Contagious_4_2_0,40.0
final_Contagious_4_3_0,0.0
final_Contagious_4_4_0,40.0
final_Recovered_0_0_0,20.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,10.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,2324.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,23.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,12.0
most_recent_tip_age_0,-0.0076756914
log_R0_0,1.6194321672
log_R0_1,1.6194321672
log_R0_2,1.6194321672
log_R0_3,1.6194321672
log_R0_4,1.6194321672
log_Sample_0,-2.4490106808
log_Sample_1,-2.4490106808
log_Sample_2,-2.4490106808
log_Sample_3,-2.4490106808
log_Sample_4,-2.4490106808
log_Recover_0,-0.8002313499
log_Recover_1,-0.8002313499
log_Recover_2,-0.8002313499
log_Recover_3,-0.8002313499
log_Recover_4,-0.8002313499
log_VisitDepart_0_0,-6.486333786
log_VisitDepart_0_1,-6.486333786
log_VisitDepart_0_2,-6.486333786
log_VisitDepart_0_3,-6.486333786
log_VisitDepart_0_4,-6.486333786
log_VisitDepart_1_0,-6.486333786
log_VisitDepart_1_1,-6.486333786
log_VisitDepart_1_2,-6.486333786
log_VisitDepart_1_3,-6.486333786
log_VisitDepart_1_4,-6.486333786
log_VisitDepart_2_0,-6.486333786
log_VisitDepart_2_1,-6.486333786
log_VisitDepart_2_2,-6.486333786
log_VisitDepart_2_3,-6.486333786
log_VisitDepart_2_4,-6.486333786
log_VisitDepart_3_0,-6.486333786
log_VisitDepart_3_1,-6.486333786
log_VisitDepart_3_2,-6.486333786
log_VisitDepart_3_3,-6.486333786
log_VisitDepart_3_4,-6.486333786
log_VisitDepart_4_0,-6.486333786
log_VisitDepart_4_1,-6.486333786
log_VisitDepart_4_2,-6.486333786
log_VisitDepart_4_3,-6.486333786
log_VisitDepart_4_4,-6.486333786
log_VisitReturn_0_0,-1.0998784307
log_VisitReturn_0_1,-1.0998784307
log_VisitReturn_0_2,-1.0998784307
log_VisitReturn_0_3,-1.0998784307
log_VisitReturn_0_4,-1.0998784307
log_VisitReturn_1_0,-1.0998784307
log_VisitReturn_1_1,-1.0998784307
log_VisitReturn_1_2,-1.0998784307
log_VisitReturn_1_3,-1.0998784307
log_VisitReturn_1_4,-1.0998784307
log_VisitReturn_2_0,-1.0998784307
log_VisitReturn_2_1,-1.0998784307
log_VisitReturn_2_2,-1.0998784307
log_VisitReturn_2_3,-1.0998784307
log_VisitReturn_2_4,-1.0998784307
log_VisitReturn_3_0,-1.0998784307
log_VisitReturn_3_1,-1.0998784307
log_VisitReturn_3_2,-1.0998784307
log_VisitReturn_3_3,-1.0998784307
log_VisitReturn_3_4,-1.0998784307
log_VisitReturn_4_0,-1.0998784307
log_VisitReturn_4_1,-1.0998784307
log_VisitReturn_4_2,-1.0998784307
log_VisitReturn_4_3,-1.0998784307
log_VisitReturn_4_4,-1.0998784307
log_Infect_0,-11.9793549992
log_Infect_1,-11.9793549992
log_Infect_2,-11.9793549992
log_Infect_3,-11.9793549992
log_Infect_4,-11.9793549992
