Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-784.9927	-1008.51	223.5177	0.03136073	0.120143	0.00048404	0.00048404	0.000489895	0.000489895	0.000479955	0.000479955	0.000485113	0.000485113	0.00140013	0.00140013	0.344415	0.00141071	0.00141071	0.00138209	0.00138209	0.00139694	0.00139694	0.000715862	0.000715862	0.000712651	0.000712651	0.178224	0.000706637	0.000706637	0.000714231	0.000714231	0.000883319	0.000883319	0.000879356	0.000879356	0.000889994	0.000889994	0.215452	0.000881306	0.000881306	0.00104119	0.00104119	0.00103651	0.00103651	0.00104905	0.00104905	0.00102777	0.00102777	0.256687	0.00145058	0.000995441	0.00221724	0.000143148	0.00121938	0.0142984	0.0098563	0.0216915	0.00142944	0.0120469	1.2226	3.52061	1.80003	2.22109	2.61805	1.2226	3.52061	1.80003	2.22109	2.61805	0.124021	0.355595	0.183922	0.22252	0.264996
110	-785.8435	-1004.991	219.1474	0.02195595	0.138576	0.000390817	0.000390817	0.000397057	0.000397057	0.000388002	0.000388002	0.00039112	0.00039112	0.000947278	0.000947278	0.339277	0.000967248	0.000967248	0.00094519	0.00094519	0.000952786	0.000952786	0.000483929	0.000483929	0.000486365	0.000486365	0.176092	0.000482862	0.000482862	0.000486743	0.000486743	0.000645612	0.000645612	0.000648862	0.000648862	0.000659223	0.000659223	0.229567	0.000649366	0.000649366	0.000811509	0.000811509	0.000815594	0.000815594	0.000828617	0.000828617	0.00080972	0.00080972	0.290876	0.000557918	0.00106409	0.00267787	0.000336243	0.00114264	0.00554822	0.0105289	0.0260803	0.00335116	0.0112973	1.40901	3.43241	1.75349	2.33934	2.94046	1.40901	3.43241	1.75349	2.33934	2.94046	0.14171	0.346902	0.179971	0.234773	0.297407
120	-791.9035	-1003.527	211.6232	0.02822978	0.141347	0.000517164	0.000517164	0.000529189	0.000529189	0.000512678	0.000512678	0.000514274	0.000514274	0.00115614	0.00115614	0.320806	0.00119201	0.00119201	0.00115482	0.00115482	0.00115841	0.00115841	0.000690655	0.000690655	0.000695902	0.000695902	0.1961	0.000689866	0.000689866	0.000692013	0.000692013	0.00074209	0.00074209	0.000747727	0.000747727	0.000765114	0.000765114	0.20413	0.000743549	0.000743549	0.000984319	0.000984319	0.000991795	0.000991795	0.00101486	0.00101486	0.000983194	0.000983194	0.271603	0.000554976	0.00131878	0.00367473	0.000440053	0.000752634	0.00551913	0.0130162	0.0354448	0.00438125	0.00747012	1.44651	3.25829	1.94644	2.09139	2.77405	1.44651	3.25829	1.94644	2.09139	2.77405	0.145494	0.330129	0.201637	0.210127	0.279551
130	-794.0465	-1006.772	212.7251	0.03289937	0.134967	0.00058663	0.00058663	0.000584283	0.000584283	0.000572667	0.000572667	0.000584164	0.000584164	0.00115811	0.00115811	0.278377	0.00117901	0.00117901	0.00115558	0.00115558	0.00117877	0.00117877	0.000795582	0.000795582	0.000813195	0.000813195	0.19047	0.00079384	0.00079384	0.000809776	0.000809776	0.000893453	0.000893453	0.000913232	0.000913232	0.000909578	0.000909578	0.209649	0.000909393	0.000909393	0.000968219	0.000968219	0.000989653	0.000989653	0.000985693	0.000985693	0.000966098	0.000966098	0.231754	0.000716172	0.00294582	0.00253387	0.000495563	0.00251301	0.00711079	0.0286153	0.0247126	0.00493119	0.0245141	1.38566	2.79611	1.92083	2.15712	2.33764	1.38566	2.79611	1.92083	2.15712	2.33764	0.139623	0.28772	0.196895	0.216901	0.239573
140	-788.7807	-1012.518	223.7371	0.04277197	0.1328	0.000745762	0.000745762	0.000740975	0.000740975	0.000729663	0.000729663	0.000745604	0.000745604	0.00161374	0.00161374	0.290488	0.00161208	0.00161208	0.00158747	0.00158747	0.00162215	0.00162215	0.000927004	0.000927004	0.00093203	0.00093203	0.165798	0.00091191	0.00091191	0.000931833	0.000931833	0.00104575	0.00104575	0.00105142	0.00105142	0.00104467	0.00104467	0.184181	0.0010512	0.0010512	0.00123445	0.00123445	0.00124114	0.00124114	0.00123318	0.00123318	0.00121435	0.00121435	0.222165	0.00205917	0.00261257	0.00195388	0.000397384	0.00259084	0.0201762	0.0254605	0.0191643	0.00395811	0.0252541	1.35935	2.95742	1.69887	1.91649	2.26231	1.35935	2.95742	1.69887	1.91649	2.26231	0.138724	0.303359	0.173204	0.192567	0.232011
150	-785.7289	-1005.931	220.2017	0.02956318	0.139135	0.000532118	0.000532118	0.000535853	0.000535853	0.000527081	0.000527081	0.000531018	0.000531018	0.00115719	0.00115719	0.305202	0.00117036	0.00117036	0.0011512	0.0011512	0.0011598	0.0011598	0.000791987	0.000791987	0.000795418	0.000795418	0.210348	0.000787887	0.000787887	0.000793773	0.000793773	0.000844112	0.000844112	0.000847769	0.000847769	0.000853718	0.000853718	0.220522	0.000846016	0.000846016	0.000978064	0.000978064	0.000982301	0.000982301	0.000989194	0.000989194	0.000973001	0.000973001	0.257426	0.00101412	0.00145176	0.00216369	0.000491284	0.00124196	0.0100394	0.0143098	0.0211786	0.00488882	0.0122672	1.41934	3.09999	2.12165	2.26129	2.62014	1.41934	3.09999	2.12165	2.26129	2.62014	0.143387	0.314479	0.216686	0.227306	0.265271
160	-791.5245	-1013.553	222.0283	0.02597533	0.115869	0.000388857	0.000388857	0.000398747	0.000398747	0.000382878	0.000382878	0.000391804	0.000391804	0.00100836	0.00100836	0.304536	0.00104099	0.00104099	0.000999563	0.000999563	0.00102287	0.00102287	0.000593486	0.000593486	0.000597493	0.000597493	0.183798	0.000588306	0.000588306	0.000602021	0.000602021	0.000600393	0.000600393	0.000604447	0.000604447	0.000619821	0.000619821	0.178537	0.000609028	0.000609028	0.000816717	0.000816717	0.000822232	0.000822232	0.000843145	0.000843145	0.000809589	0.000809589	0.248526	0.00114885	0.00183188	0.0044219	0.00026606	0.00260352	0.011358	0.0179892	0.0423464	0.00265354	0.0253746	1.17608	3.07033	1.80708	1.82812	2.48679	1.17608	3.07033	1.80708	1.82812	2.48679	0.118993	0.31268	0.18856	0.183404	0.25511
170	-789.2878	-1007.289	218.0016	0.02618072	0.13327	0.000455846	0.000455846	0.0004502	0.0004502	0.000446237	0.000446237	0.000447963	0.000447963	0.0010148	0.0010148	0.307354	0.00102009	0.00102009	0.00101111	0.00101111	0.00101502	0.00101502	0.000646526	0.000646526	0.000658048	0.000658048	0.193389	0.000644176	0.000644176	0.000646668	0.000646668	0.00072722	0.00072722	0.00074018	0.00074018	0.000731013	0.000731013	0.215611	0.00072738	0.00072738	0.000949397	0.000949397	0.000966317	0.000966317	0.000954348	0.000954348	0.000945946	0.000945946	0.282573	0.000660776	0.00245469	0.00118574	0.000294856	0.000682936	0.00656438	0.0239588	0.0117184	0.00293989	0.00678304	1.35955	3.08055	1.96261	2.20757	2.88201	1.35955	3.08055	1.96261	2.20757	2.88201	0.136871	0.315476	0.19858	0.221463	0.290205
180	-785.3011	-1003.438	218.1366	0.03139515	0.136784	0.000556238	0.000556238	0.000557236	0.000557236	0.000553244	0.000553244	0.000556514	0.000556514	0.00131412	0.00131412	0.325542	0.00132133	0.00132133	0.00131186	0.00131186	0.00131962	0.00131962	0.000804368	0.000804368	0.000807335	0.000807335	0.199621	0.000802989	0.000802989	0.000807735	0.000807735	0.000844136	0.000844136	0.00084725	0.00084725	0.000848771	0.000848771	0.20799	0.00084767	0.00084767	0.000989639	0.000989639	0.00099329	0.00099329	0.000995072	0.000995072	0.000987943	0.000987943	0.245282	0.000563533	0.000934537	0.00111567	0.00039121	0.000984543	0.00560375	0.00925884	0.0110336	0.00389686	0.00974944	1.40426	3.32982	2.03818	2.13894	2.50763	1.40426	3.32982	2.03818	2.13894	2.50763	0.141231	0.336076	0.206066	0.214765	0.253214
190	-791.8686	-1007.335	215.4663	0.02896602	0.137682	0.000516481	0.000516481	0.000519285	0.000519285	0.000508605	0.000508605	0.000510894	0.000510894	0.0011136	0.0011136	0.300454	0.0011264	0.0011264	0.00110324	0.00110324	0.0011082	0.0011082	0.000628171	0.000628171	0.000631961	0.000631961	0.170403	0.000622325	0.000622325	0.000625126	0.000625126	0.00076901	0.00076901	0.00077365	0.00077365	0.000777851	0.000777851	0.204318	0.000765282	0.000765282	0.00103952	0.00103952	0.00104579	0.00104579	0.00105147	0.00105147	0.00102984	0.00102984	0.277432	0.00120669	0.00181742	0.00237035	0.000264863	0.000716157	0.0119231	0.0178498	0.0231547	0.00264164	0.00711065	1.40098	3.03893	1.71423	2.09857	2.83676	1.40098	3.03893	1.71423	2.09857	2.83676	0.141792	0.309357	0.175419	0.21049	0.285765
