param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,100000000
R0_0,8.5849614751
R0_1,8.5849614751
R0_2,8.5849614751
R0_3,8.5849614751
R0_4,8.5849614751
Sample_0,0.0391109773
Sample_1,0.0391109773
Sample_2,0.0391109773
Sample_3,0.0391109773
Sample_4,0.0391109773
Recover_0,0.2283786815
Recover_1,0.2283786815
Recover_2,0.2283786815
Recover_3,0.2283786815
Recover_4,0.2283786815
Stop_time_0,3.9920484506
Time_of_interest_0,14.8790704955
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Total_S0_4,100000000
Infect_0,2.3e-08
Infect_1,2.3e-08
Infect_2,2.3e-08
Infect_3,2.3e-08
Infect_4,2.3e-08
VisitDepart_0_0,0.3280286626
VisitDepart_0_1,0.3280286626
VisitDepart_0_2,0.3280286626
VisitDepart_0_3,0.3280286626
VisitDepart_0_4,0.3280286626
VisitDepart_1_0,0.3280286626
VisitDepart_1_1,0.3280286626
VisitDepart_1_2,0.3280286626
VisitDepart_1_3,0.3280286626
VisitDepart_1_4,0.3280286626
VisitDepart_2_0,0.3280286626
VisitDepart_2_1,0.3280286626
VisitDepart_2_2,0.3280286626
VisitDepart_2_3,0.3280286626
VisitDepart_2_4,0.3280286626
VisitDepart_3_0,0.3280286626
VisitDepart_3_1,0.3280286626
VisitDepart_3_2,0.3280286626
VisitDepart_3_3,0.3280286626
VisitDepart_3_4,0.3280286626
VisitDepart_4_0,0.3280286626
VisitDepart_4_1,0.3280286626
VisitDepart_4_2,0.3280286626
VisitDepart_4_3,0.3280286626
VisitDepart_4_4,0.3280286626
VisitReturn_0_0,0.0328601329
VisitReturn_0_1,0.0328601329
VisitReturn_0_2,0.0328601329
VisitReturn_0_3,0.0328601329
VisitReturn_0_4,0.0328601329
VisitReturn_1_0,0.0328601329
VisitReturn_1_1,0.0328601329
VisitReturn_1_2,0.0328601329
VisitReturn_1_3,0.0328601329
VisitReturn_1_4,0.0328601329
VisitReturn_2_0,0.0328601329
VisitReturn_2_1,0.0328601329
VisitReturn_2_2,0.0328601329
VisitReturn_2_3,0.0328601329
VisitReturn_2_4,0.0328601329
VisitReturn_3_0,0.0328601329
VisitReturn_3_1,0.0328601329
VisitReturn_3_2,0.0328601329
VisitReturn_3_3,0.0328601329
VisitReturn_3_4,0.0328601329
VisitReturn_4_0,0.0328601329
VisitReturn_4_1,0.0328601329
VisitReturn_4_2,0.0328601329
VisitReturn_4_3,0.0328601329
VisitReturn_4_4,0.0328601329
VisitStationaryFreqs_0_0,0.0244317837
VisitStationaryFreqs_0_1,0.2438920541
VisitStationaryFreqs_0_2,0.2438920541
VisitStationaryFreqs_0_3,0.2438920541
VisitStationaryFreqs_0_4,0.2438920541
VisitStationaryFreqs_1_0,0.2438920541
VisitStationaryFreqs_1_1,0.0244317837
VisitStationaryFreqs_1_2,0.2438920541
VisitStationaryFreqs_1_3,0.2438920541
VisitStationaryFreqs_1_4,0.2438920541
VisitStationaryFreqs_2_0,0.2438920541
VisitStationaryFreqs_2_1,0.2438920541
VisitStationaryFreqs_2_2,0.0244317837
VisitStationaryFreqs_2_3,0.2438920541
VisitStationaryFreqs_2_4,0.2438920541
VisitStationaryFreqs_3_0,0.2438920541
VisitStationaryFreqs_3_1,0.2438920541
VisitStationaryFreqs_3_2,0.2438920541
VisitStationaryFreqs_3_3,0.0244317837
VisitStationaryFreqs_3_4,0.2438920541
VisitStationaryFreqs_4_0,0.2438920541
VisitStationaryFreqs_4_1,0.2438920541
VisitStationaryFreqs_4_2,0.2438920541
VisitStationaryFreqs_4_3,0.2438920541
VisitStationaryFreqs_4_4,0.0244317837
VisitApproxInfect_0_0,6e-10
VisitApproxInfect_0_1,5.6e-09
VisitApproxInfect_0_2,5.6e-09
VisitApproxInfect_0_3,5.6e-09
VisitApproxInfect_0_4,5.6e-09
VisitApproxInfect_1_0,5.6e-09
VisitApproxInfect_1_1,6e-10
VisitApproxInfect_1_2,5.6e-09
VisitApproxInfect_1_3,5.6e-09
VisitApproxInfect_1_4,5.6e-09
VisitApproxInfect_2_0,5.6e-09
VisitApproxInfect_2_1,5.6e-09
VisitApproxInfect_2_2,6e-10
VisitApproxInfect_2_3,5.6e-09
VisitApproxInfect_2_4,5.6e-09
VisitApproxInfect_3_0,5.6e-09
VisitApproxInfect_3_1,5.6e-09
VisitApproxInfect_3_2,5.6e-09
VisitApproxInfect_3_3,6e-10
VisitApproxInfect_3_4,5.6e-09
VisitApproxInfect_4_0,5.6e-09
VisitApproxInfect_4_1,5.6e-09
VisitApproxInfect_4_2,5.6e-09
VisitApproxInfect_4_3,5.6e-09
VisitApproxInfect_4_4,6e-10
StartState_0,4
StartState_1,2
actual_sim_time_0,3.9920484506
SampleCount_0,4.0
SampleCount_1,2.0
SampleCount_2,199.0
SampleCount_3,2.0
SampleCount_4,4.0
total_sampled_0,211.0
num_sampled_per_capita_0,4e-08
num_sampled_per_capita_1,2e-08
num_sampled_per_capita_2,1.99e-06
num_sampled_per_capita_3,2e-08
num_sampled_per_capita_4,4e-08
Prevalence_0,54.0
Prevalence_1,32.0
Prevalence_2,2804.0
Prevalence_3,23.0
Prevalence_4,100.0
per_capita_prevalence_at_t_0,5.4e-07
per_capita_prevalence_at_t_1,3.2e-07
per_capita_prevalence_at_t_2,2.804e-05
per_capita_prevalence_at_t_3,2.3e-07
per_capita_prevalence_at_t_4,1e-06
final_Susceptible_0_0_0,99999134.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99999156.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99999867.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99999110.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,99999147.0
final_Contagious_0_0_0,7.0
final_Contagious_0_1_0,7.0
final_Contagious_0_2_0,684.0
final_Contagious_0_3_0,4.0
final_Contagious_0_4_0,23.0
final_Contagious_1_0_0,7.0
final_Contagious_1_1_0,5.0
final_Contagious_1_2_0,662.0
final_Contagious_1_3_0,6.0
final_Contagious_1_4_0,22.0
final_Contagious_2_0_0,18.0
final_Contagious_2_1_0,14.0
final_Contagious_2_2_0,57.0
final_Contagious_2_3_0,4.0
final_Contagious_2_4_0,25.0
final_Contagious_3_0_0,8.0
final_Contagious_3_1_0,2.0
final_Contagious_3_2_0,702.0
final_Contagious_3_3_0,6.0
final_Contagious_3_4_0,20.0
final_Contagious_4_0_0,14.0
final_Contagious_4_1_0,4.0
final_Contagious_4_2_0,699.0
final_Contagious_4_3_0,3.0
final_Contagious_4_4_0,10.0
final_Recovered_0_0_0,141.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,142.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,15.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,152.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,124.0
most_recent_tip_age_0,0.0
log_R0_0,2.1500120069
log_R0_1,2.1500120069
log_R0_2,2.1500120069
log_R0_3,2.1500120069
log_R0_4,2.1500120069
log_Sample_0,-3.2413521021
log_Sample_1,-3.2413521021
log_Sample_2,-3.2413521021
log_Sample_3,-3.2413521021
log_Sample_4,-3.2413521021
log_Recover_0,-1.4767501441
log_Recover_1,-1.4767501441
log_Recover_2,-1.4767501441
log_Recover_3,-1.4767501441
log_Recover_4,-1.4767501441
log_VisitDepart_0_0,-1.1146542886
log_VisitDepart_0_1,-1.1146542886
log_VisitDepart_0_2,-1.1146542886
log_VisitDepart_0_3,-1.1146542886
