param,value
S0_0_0_0,86981
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,86981
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,86981
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,86981
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,86981
R0_0,7.2014135449
R0_1,7.2014135449
R0_2,7.2014135449
R0_3,7.2014135449
R0_4,7.2014135449
Sample_0,0.08493464
Sample_1,0.08493464
Sample_2,0.08493464
Sample_3,0.08493464
Sample_4,0.08493464
Recover_0,0.4761010743
Recover_1,0.4761010743
Recover_2,0.4761010743
Recover_3,0.4761010743
Recover_4,0.4761010743
Stop_time_0,21.9312506157
Time_of_interest_0,1.6005492894
nSampled_tips_0,356
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,86981
Total_S0_1,86981
Total_S0_2,86981
Total_S0_3,86981
Total_S0_4,86981
Infect_0,4.64498e-05
Infect_1,4.64498e-05
Infect_2,4.64498e-05
Infect_3,4.64498e-05
Infect_4,4.64498e-05
VisitDepart_0_0,0.0013818793
VisitDepart_0_1,0.0013818793
VisitDepart_0_2,0.0013818793
VisitDepart_0_3,0.0013818793
VisitDepart_0_4,0.0013818793
VisitDepart_1_0,0.0013818793
VisitDepart_1_1,0.0013818793
VisitDepart_1_2,0.0013818793
VisitDepart_1_3,0.0013818793
VisitDepart_1_4,0.0013818793
VisitDepart_2_0,0.0013818793
VisitDepart_2_1,0.0013818793
VisitDepart_2_2,0.0013818793
VisitDepart_2_3,0.0013818793
VisitDepart_2_4,0.0013818793
VisitDepart_3_0,0.0013818793
VisitDepart_3_1,0.0013818793
VisitDepart_3_2,0.0013818793
VisitDepart_3_3,0.0013818793
VisitDepart_3_4,0.0013818793
VisitDepart_4_0,0.0013818793
VisitDepart_4_1,0.0013818793
VisitDepart_4_2,0.0013818793
VisitDepart_4_3,0.0013818793
VisitDepart_4_4,0.0013818793
VisitReturn_0_0,0.4283108763
VisitReturn_0_1,0.4283108763
VisitReturn_0_2,0.4283108763
VisitReturn_0_3,0.4283108763
VisitReturn_0_4,0.4283108763
VisitReturn_1_0,0.4283108763
VisitReturn_1_1,0.4283108763
VisitReturn_1_2,0.4283108763
VisitReturn_1_3,0.4283108763
VisitReturn_1_4,0.4283108763
VisitReturn_2_0,0.4283108763
VisitReturn_2_1,0.4283108763
VisitReturn_2_2,0.4283108763
VisitReturn_2_3,0.4283108763
VisitReturn_2_4,0.4283108763
VisitReturn_3_0,0.4283108763
VisitReturn_3_1,0.4283108763
VisitReturn_3_2,0.4283108763
VisitReturn_3_3,0.4283108763
VisitReturn_3_4,0.4283108763
VisitReturn_4_0,0.4283108763
VisitReturn_4_1,0.4283108763
VisitReturn_4_2,0.4283108763
VisitReturn_4_3,0.4283108763
VisitReturn_4_4,0.4283108763
VisitStationaryFreqs_0_0,0.9872590414
VisitStationaryFreqs_0_1,0.0031852397
VisitStationaryFreqs_0_2,0.0031852397
VisitStationaryFreqs_0_3,0.0031852397
VisitStationaryFreqs_0_4,0.0031852397
VisitStationaryFreqs_1_0,0.0031852397
VisitStationaryFreqs_1_1,0.9872590414
VisitStationaryFreqs_1_2,0.0031852397
VisitStationaryFreqs_1_3,0.0031852397
VisitStationaryFreqs_1_4,0.0031852397
VisitStationaryFreqs_2_0,0.0031852397
VisitStationaryFreqs_2_1,0.0031852397
VisitStationaryFreqs_2_2,0.9872590414
VisitStationaryFreqs_2_3,0.0031852397
VisitStationaryFreqs_2_4,0.0031852397
VisitStationaryFreqs_3_0,0.0031852397
VisitStationaryFreqs_3_1,0.0031852397
VisitStationaryFreqs_3_2,0.0031852397
VisitStationaryFreqs_3_3,0.9872590414
VisitStationaryFreqs_3_4,0.0031852397
VisitStationaryFreqs_4_0,0.0031852397
VisitStationaryFreqs_4_1,0.0031852397
VisitStationaryFreqs_4_2,0.0031852397
VisitStationaryFreqs_4_3,0.0031852397
VisitStationaryFreqs_4_4,0.9872590414
VisitApproxInfect_0_0,4.5858e-05
VisitApproxInfect_0_1,1.48e-07
VisitApproxInfect_0_2,1.48e-07
VisitApproxInfect_0_3,1.48e-07
VisitApproxInfect_0_4,1.48e-07
VisitApproxInfect_1_0,1.48e-07
VisitApproxInfect_1_1,4.5858e-05
VisitApproxInfect_1_2,1.48e-07
VisitApproxInfect_1_3,1.48e-07
VisitApproxInfect_1_4,1.48e-07
VisitApproxInfect_2_0,1.48e-07
VisitApproxInfect_2_1,1.48e-07
VisitApproxInfect_2_2,4.5858e-05
VisitApproxInfect_2_3,1.48e-07
VisitApproxInfect_2_4,1.48e-07
VisitApproxInfect_3_0,1.48e-07
VisitApproxInfect_3_1,1.48e-07
VisitApproxInfect_3_2,1.48e-07
VisitApproxInfect_3_3,4.5858e-05
VisitApproxInfect_3_4,1.48e-07
VisitApproxInfect_4_0,1.48e-07
VisitApproxInfect_4_1,1.48e-07
VisitApproxInfect_4_2,1.48e-07
VisitApproxInfect_4_3,1.48e-07
VisitApproxInfect_4_4,4.5858e-05
StartState_0,2
StartState_1,2
actual_sim_time_0,3.9296234837
SampleCount_0,7.0
SampleCount_1,4.0
SampleCount_2,801.0
SampleCount_3,1.0
SampleCount_4,1.0
num_sampled_per_capita_0,8.04773e-05
num_sampled_per_capita_1,4.59871e-05
num_sampled_per_capita_2,0.0092089077
num_sampled_per_capita_3,1.14968e-05
num_sampled_per_capita_4,1.14968e-05
Prevalence_0,0.0
Prevalence_1,0.0
Prevalence_2,8.0
Prevalence_3,0.0
Prevalence_4,0.0
per_capita_prevalence_at_t_0,0.0
per_capita_prevalence_at_t_1,0.0
per_capita_prevalence_at_t_2,9.19741e-05
per_capita_prevalence_at_t_3,0.0
per_capita_prevalence_at_t_4,0.0
final_Susceptible_0_0_0,86612.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,86750.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,57860.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,86777.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,86801.0
final_Contagious_0_0_0,228.0
final_Contagious_0_1_0,0.0
final_Contagious_0_2_0,88.0
final_Contagious_0_3_0,0.0
final_Contagious_0_4_0,0.0
final_Contagious_1_0_0,0.0
final_Contagious_1_1_0,115.0
final_Contagious_1_2_0,84.0
final_Contagious_1_3_0,0.0
final_Contagious_1_4_0,0.0
final_Contagious_2_0_0,5.0
final_Contagious_2_1_0,10.0
final_Contagious_2_2_0,24101.0
final_Contagious_2_3_0,13.0
final_Contagious_2_4_0,12.0
final_Contagious_3_0_0,1.0
final_Contagious_3_1_0,0.0
final_Contagious_3_2_0,96.0
final_Contagious_3_3_0,69.0
final_Contagious_3_4_0,0.0
final_Contagious_4_0_0,0.0
final_Contagious_4_1_0,0.0
final_Contagious_4_2_0,86.0
final_Contagious_4_3_0,1.0
final_Contagious_4_4_0,74.0
final_Recovered_0_0_0,53.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,32.0
final_Recovered_1_2_0,0.0
