param,value
S0_0_0_0,69581
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,69581
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,69581
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,69581
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,69581
R0_0,4.3548744488
R0_1,4.3548744488
R0_2,4.3548744488
R0_3,4.3548744488
R0_4,4.3548744488
Sample_0,0.0320441624
Sample_1,0.0320441624
Sample_2,0.0320441624
Sample_3,0.0320441624
Sample_4,0.0320441624
Recover_0,0.4473285085
Recover_1,0.4473285085
Recover_2,0.4473285085
Recover_3,0.4473285085
Recover_4,0.4473285085
Stop_time_0,23.1677171623
Time_of_interest_0,1.4534451702
nSampled_tips_0,377
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,69581
Total_S0_1,69581
Total_S0_2,69581
Total_S0_3,69581
Total_S0_4,69581
Infect_0,3.00026e-05
Infect_1,3.00026e-05
Infect_2,3.00026e-05
Infect_3,3.00026e-05
Infect_4,3.00026e-05
VisitDepart_0_0,0.0046613423
VisitDepart_0_1,0.0046613423
VisitDepart_0_2,0.0046613423
VisitDepart_0_3,0.0046613423
VisitDepart_0_4,0.0046613423
VisitDepart_1_0,0.0046613423
VisitDepart_1_1,0.0046613423
VisitDepart_1_2,0.0046613423
VisitDepart_1_3,0.0046613423
VisitDepart_1_4,0.0046613423
VisitDepart_2_0,0.0046613423
VisitDepart_2_1,0.0046613423
VisitDepart_2_2,0.0046613423
VisitDepart_2_3,0.0046613423
VisitDepart_2_4,0.0046613423
VisitDepart_3_0,0.0046613423
VisitDepart_3_1,0.0046613423
VisitDepart_3_2,0.0046613423
VisitDepart_3_3,0.0046613423
VisitDepart_3_4,0.0046613423
VisitDepart_4_0,0.0046613423
VisitDepart_4_1,0.0046613423
VisitDepart_4_2,0.0046613423
VisitDepart_4_3,0.0046613423
VisitDepart_4_4,0.0046613423
VisitReturn_0_0,0.1777743304
VisitReturn_0_1,0.1777743304
VisitReturn_0_2,0.1777743304
VisitReturn_0_3,0.1777743304
VisitReturn_0_4,0.1777743304
VisitReturn_1_0,0.1777743304
VisitReturn_1_1,0.1777743304
VisitReturn_1_2,0.1777743304
VisitReturn_1_3,0.1777743304
VisitReturn_1_4,0.1777743304
VisitReturn_2_0,0.1777743304
VisitReturn_2_1,0.1777743304
VisitReturn_2_2,0.1777743304
VisitReturn_2_3,0.1777743304
VisitReturn_2_4,0.1777743304
VisitReturn_3_0,0.1777743304
VisitReturn_3_1,0.1777743304
VisitReturn_3_2,0.1777743304
VisitReturn_3_3,0.1777743304
VisitReturn_3_4,0.1777743304
VisitReturn_4_0,0.1777743304
VisitReturn_4_1,0.1777743304
VisitReturn_4_2,0.1777743304
VisitReturn_4_3,0.1777743304
VisitReturn_4_4,0.1777743304
VisitStationaryFreqs_0_0,0.9050738322
VisitStationaryFreqs_0_1,0.0237315419
VisitStationaryFreqs_0_2,0.0237315419
VisitStationaryFreqs_0_3,0.0237315419
VisitStationaryFreqs_0_4,0.0237315419
VisitStationaryFreqs_1_0,0.0237315419
VisitStationaryFreqs_1_1,0.9050738322
VisitStationaryFreqs_1_2,0.0237315419
VisitStationaryFreqs_1_3,0.0237315419
VisitStationaryFreqs_1_4,0.0237315419
VisitStationaryFreqs_2_0,0.0237315419
VisitStationaryFreqs_2_1,0.0237315419
VisitStationaryFreqs_2_2,0.9050738322
VisitStationaryFreqs_2_3,0.0237315419
VisitStationaryFreqs_2_4,0.0237315419
VisitStationaryFreqs_3_0,0.0237315419
VisitStationaryFreqs_3_1,0.0237315419
VisitStationaryFreqs_3_2,0.0237315419
VisitStationaryFreqs_3_3,0.9050738322
VisitStationaryFreqs_3_4,0.0237315419
VisitStationaryFreqs_4_0,0.0237315419
VisitStationaryFreqs_4_1,0.0237315419
VisitStationaryFreqs_4_2,0.0237315419
VisitStationaryFreqs_4_3,0.0237315419
VisitStationaryFreqs_4_4,0.9050738322
VisitApproxInfect_0_0,2.71545e-05
VisitApproxInfect_0_1,7.12e-07
VisitApproxInfect_0_2,7.12e-07
VisitApproxInfect_0_3,7.12e-07
VisitApproxInfect_0_4,7.12e-07
VisitApproxInfect_1_0,7.12e-07
VisitApproxInfect_1_1,2.71545e-05
VisitApproxInfect_1_2,7.12e-07
VisitApproxInfect_1_3,7.12e-07
VisitApproxInfect_1_4,7.12e-07
VisitApproxInfect_2_0,7.12e-07
VisitApproxInfect_2_1,7.12e-07
VisitApproxInfect_2_2,2.71545e-05
