Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	ma_base_rate[1]	ma_base_rate[2]	ma_base_rate[3]	ma_base_rate[4]	ma_base_rate[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-959.8189	-1008.813	48.99434	0.04997359	0.126703	0.000839005	0.000839005	0.000845896	0.000845896	0.000831595	0.000831595	0.000841494	0.000841494	0.00204827	0.00204827	0.313714	0.00207971	0.00207971	0.00204454	0.00204454	0.00206888	0.00206888	0.00111822	0.00111822	0.00112613	0.00112613	0.172674	0.00111619	0.00111619	0.00112948	0.00112948	0.00125167	0.00125167	0.00126053	0.00126053	0.00127088	0.00127088	0.190014	0.00126427	0.00126427	0.00166093	0.00166093	0.00167268	0.00167268	0.00168642	0.00168642	0.00165791	0.00165791	0.255144	0.000621137	0.001333	0.00216535	0.000438049	0.00163371	0.00617303	0.0131546	0.0211946	0.00436138	0.0160745	1.10453e-05	0.000119013	0.000207874	0.000243845	0.00024097	1.32545	3.25872	1.77905	1.99136	2.64248	1.32545	3.25872	1.77905	1.99136	2.64248	0.133419	0.330197	0.181654	0.200108	0.2685
110	-962.6395	-1011.272	48.63297	0.04687118	0.127431	0.000794176	0.000794176	0.000790304	0.000790304	0.000780404	0.000780404	0.000798409	0.000798409	0.00188857	0.00188857	0.311493	0.00190542	0.00190542	0.00188155	0.00188155	0.00192496	0.00192496	0.00114648	0.00114648	0.00116237	0.00116237	0.188173	0.00114221	0.00114221	0.00116856	0.00116856	0.00130615	0.00130615	0.00132426	0.00132426	0.0013178	0.0013178	0.211695	0.00133131	0.00133131	0.00132077	0.00132077	0.00133908	0.00133908	0.00133255	0.00133255	0.00131586	0.00131586	0.219003	0.000736206	0.00213269	0.00163469	0.000361527	0.00267697	0.00730825	0.0208816	0.016084	0.00360225	0.0260717	4.76524e-06	0.000484679	0.000564944	0.000141092	0.000244331	1.3272	3.19987	1.94251	2.21305	2.23783	1.3272	3.19987	1.94251	2.21305	2.23783	0.133757	0.326694	0.197412	0.222254	0.22962
120	-960.7222	-1008.987	48.2646	0.04076362	0.120066	0.000637229	0.000637229	0.000635937	0.000635937	0.000632749	0.000632749	0.000637479	0.000637479	0.0016898	0.0016898	0.317832	0.0016849	0.0016849	0.00167645	0.00167645	0.00168898	0.00168898	0.00121865	0.00121865	0.00121758	0.00121758	0.228748	0.00120902	0.00120902	0.00121805	0.00121805	0.00106616	0.00106616	0.00106523	0.00106523	0.00106307	0.00106307	0.199122	0.00106564	0.00106564	0.0014163	0.0014163	0.00141505	0.00141505	0.00141218	0.00141218	0.0014051	0.0014051	0.266493	0.00113501	0.00104641	0.000841447	0.000335935	0.00108592	0.0112227	0.0103558	0.00834426	0.0033481	0.0107426	1.23678e-05	0.000308319	0.000760372	0.000206817	0.000125889	1.23763	3.27908	2.36479	2.06889	2.74833	1.23763	3.27908	2.36479	2.06889	2.74833	0.125153	0.331312	0.238475	0.207643	0.27779
130	-958.0845	-1008.035	49.95064	0.02940109	0.132286	0.000503345	0.000503345	0.000504339	0.000504339	0.000498414	0.000498414	0.000505626	0.000505626	0.0012361	0.0012361	0.328048	0.00124459	0.00124459	0.00122997	0.00122997	0.00124777	0.00124777	0.000861951	0.000861951	0.000866165	0.000866165	0.229205	0.000857679	0.000857679	0.000870091	0.000870091	0.000816823	0.000816823	0.000820816	0.000820816	0.000822437	0.000822437	0.214653	0.000824536	0.000824536	0.000860258	0.000860258	0.000864465	0.000864465	0.000866171	0.000866171	0.000855995	0.000855995	0.229339	0.000849041	0.00134213	0.00154221	0.000349256	0.00180143	0.00841893	0.0132435	0.0151879	0.0034804	0.0176955	3.7713e-06	0.000101426	0.000527436	0.000283371	5.69296e-05	1.35146	3.33509	2.32561	2.20385	2.32105	1.35146	3.33509	2.32561	2.20385	2.32105	0.136309	0.337965	0.236117	0.221222	0.236232
140	-964.8795	-1012.902	48.02207	0.0276721	0.119126	0.000427081	0.000427081	0.000433173	0.000433173	0.000422392	0.000422392	0.000430505	0.000430505	0.00120723	0.00120723	0.341989	0.00123396	0.00123396	0.00120325	0.00120325	0.00122636	0.00122636	0.000582866	0.000582866	0.000587396	0.000587396	0.167472	0.000580948	0.000580948	0.000592106	0.000592106	0.000761206	0.000761206	0.000767122	0.000767122	0.000778065	0.000778065	0.213271	0.000773273	0.000773273	0.000824955	0.000824955	0.000831367	0.000831367	0.000843226	0.000843226	0.000822241	0.000822241	0.235571	0.000695056	0.00147771	0.00292522	0.000363766	0.00229137	0.00690258	0.0145619	0.0284209	0.00362447	0.0224005	3.84563e-06	0.000423496	0.000185328	5.53079e-05	0.000155272	1.21671	3.466	1.67343	2.18545	2.36848	1.21671	3.466	1.67343	2.18545	2.36848	0.122553	0.35173	0.172159	0.21943	0.242214
150	-960.0052	-1010.718	50.71322	0.02144333	0.147432	0.000405105	0.000405105	0.00041956	0.00041956	0.000404071	0.000404071	0.000411223	0.000411223	0.000942143	0.000942143	0.345032	0.000978819	0.000978819	0.000942684	0.000942684	0.00095937	0.00095937	0.00044447	0.00044447	0.000445863	0.000445863	0.168582	0.000444725	0.000444725	0.000452597	0.000452597	0.000577802	0.000577802	0.000579613	0.000579613	0.000600295	0.000600295	0.211063	0.000588367	0.000588367	0.000638678	0.000638678	0.00064068	0.00064068	0.000663541	0.000663541	0.000639045	0.000639045	0.23743	0.000379232	0.000693867	0.00428674	0.00043681	0.00221459	0.00377799	0.00689085	0.0411053	0.00434911	0.0216661	4.85687e-06	7.84251e-05	0.000489773	0.000204019	0.000196849	1.50094	3.50164	1.65195	2.1475	2.37376	1.50094	3.50164	1.65195	2.1475	2.37376	0.150712	0.352678	0.172157	0.215755	0.242594
160	-963.5081	-1012.254	48.74548	0.02480257	0.130884	0.000420163	0.000420163	0.000416825	0.000416825	0.000413334	0.000413334	0.00041788	0.00041788	0.000915958	0.000915958	0.290922	0.000917545	0.000917545	0.00090986	0.00090986	0.000919867	0.000919867	0.000580287	0.000580287	0.000585947	0.000585947	0.182844	0.000576424	0.000576424	0.000582763	0.000582763	0.000747327	0.000747327	0.000754617	0.000754617	0.000748622	0.000748622	0.233505	0.000750517	0.000750517	0.000836223	0.000836223	0.00084438	0.00084438	0.000837672	0.000837672	0.000830656	0.000830656	0.264154	0.00108801	0.00207412	0.00126319	0.000415043	0.00151944	0.010763	0.0203197	0.0124743	0.00413328	0.014967	5.06901e-06	0.000158328	0.00098961	0.00025178	0.000239682	1.32769	2.9226	1.85155	2.38454	2.66818	1.32769	2.9226	1.85155	2.38454	2.66818	0.134221	0.298249	0.187495	0.239507	0.270852
170	-957.711	-1008.608	50.89673	0.03294124	0.133139	0.000574607	0.000574607	0.000576807	0.000576807	0.0005666	0.0005666	0.000570902	0.000570902	0.00128588	0.00128588	0.306104	0.00130836	0.00130836	0.00128521	0.00128521	0.00129496	0.00129496	0.000693255	0.000693255	0.000702685	0.000702685	0.165662	0.000692894	0.000692894	0.000698155	0.000698155	0.000902905	0.000902905	0.000915186	0.000915186	0.000918691	0.000918691	0.211943	0.000909286	0.000909286	0.00115413	0.00115413	0.00116982	0.00116982	0.0011743	0.0011743	0.00115352	0.00115352	0.27297	0.000281141	0.00164521	0.00203444	0.000228829	0.00098989	0.00280353	0.0161858	0.0199388	0.00228306	0.00980187	7.71737e-06	0.00028024	0.000374276	0.000232395	7.75406e-05	1.37288	3.11408	1.6789	2.18662	2.79501	1.37288	3.11408	1.6789	2.18662	2.79501	0.137717	0.316453	0.171236	0.219235	0.282273
180	-959.4537	-1009.355	49.90157	0.0326473	0.132903	0.000565488	0.000565488	0.000570939	0.000570939	0.000556866	0.000556866	0.000559994	0.000559994	0.00120787	0.00120787	0.288779	0.00123	0.00123	0.00119968	0.00119968	0.00120642	0.00120642	0.000753081	0.000753081	0.000759555	0.000759555	0.181783	0.000747974	0.000747974	0.000752175	0.000752175	0.000927294	0.000927294	0.000935265	0.000935265	0.00094428	0.00094428	0.218318	0.000926179	0.000926179	0.00106956	0.00106956	0.00107875	0.00107875	0.00108915	0.00108915	0.0010623	0.0010623	0.253226	0.00112396	0.00199327	0.00297633	0.000438195	0.00100236	0.0111147	0.0195432	0.0289031	0.00436283	0.00992417	8.59697e-06	0.000288481	0.000819838	0.000130052	0.00014727	1.35861	2.92691	1.82486	2.24701	2.59174	1.35861	2.92691	1.82486	2.24701	2.59174	0.137409	0.298467	0.187808	0.225784	0.261826
190	-954.4508	-1006.455	52.00396	0.02782056	0.134297	0.000483886	0.000483886	0.000495349	0.000495349	0.00047893	0.00047893	0.000483405	0.000483405	0.00114205	0.00114205	0.321591	0.00117761	0.00117761	0.00113857	0.00113857	0.00114921	0.00114921	0.000567757	0.000567757	0.000571887	0.000571887	0.163662	0.000566029	0.000566029	0.000571318	0.000571318	0.000740267	0.000740267	0.000745651	0.000745651	0.000763315	0.000763315	0.206317	0.000744909	0.000744909	0.000917929	0.000917929	0.000924605	0.000924605	0.000946509	0.000946509	0.000915135	0.000915135	0.258223	0.000626143	0.00135799	0.00375915	0.000319815	0.00125721	0.00622247	0.013398	0.0362296	0.00318795	0.012416	4.5449e-06	9.09948e-05	0.000366166	9.40085e-05	0.0001031	1.37281	3.26361	1.62247	2.11544	2.62315	1.37281	3.26361	1.62247	2.11544	2.62315	0.13818	0.330805	0.168216	0.212305	0.265631
