Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_param[1]	delta_param[2]	delta_param[3]	delta_param[4]	delta_param[5]	ma_base_rate	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
1040	-1004.093	-1011.407	7.314205	0.009935125	0.122022	0.000150414	0.000150414	0.00015079	0.00015079	0.000149047	0.000149047	0.000150509	0.000150509	0.000387186	0.000387186	0.30334	0.000381445	0.000381445	0.000377038	0.000377038	0.000380735	0.000380735	0.000292628	0.000292628	0.000287571	0.000287571	0.229831	0.000284958	0.000284958	0.000287752	0.000287752	0.000267757	0.000267757	0.000263131	0.000263131	0.000263787	0.000263787	0.207868	0.000263296	0.000263296	0.000352216	0.000352216	0.000346131	0.000346131	0.000346995	0.000346995	0.000342985	0.000342985	0.276117	0.00315584	0.00137349	0.00162648	0.000452224	0.00143718	0.00315584	0.00137349	0.00162648	0.000452224	0.00143718	0.001687496	1.19476	3.02233	2.28422	2.09008	2.74936	1.19476	3.02233	2.28422	2.09008	2.74936	0.123224	0.306393	0.232137	0.209984	0.278894
1050	-1001.535	-1010.218	8.683168	0.02131762	0.124623	0.000338373	0.000338373	0.000343785	0.000343785	0.000335764	0.000335764	0.000341825	0.000341825	0.000874581	0.000874581	0.320319	0.000886097	0.000886097	0.000865423	0.000865423	0.000881045	0.000881045	0.000524454	0.000524454	0.000522995	0.000522995	0.195156	0.000518963	0.000518963	0.000528331	0.000528331	0.000582118	0.000582118	0.000580499	0.000580499	0.000589784	0.000589784	0.21156	0.000586421	0.000586421	0.000633312	0.000633312	0.00063155	0.00063155	0.000641651	0.000641651	0.000626681	0.000626681	0.23432	0.00149003	0.00120768	0.00282646	0.000427367	0.00224021	0.00149003	0.00120768	0.00282646	0.000427367	0.00224021	0.002064296	1.25468	3.23391	1.93926	2.15248	2.34178	1.25468	3.23391	1.93926	2.15248	2.34178	0.127343	0.327333	0.199345	0.216237	0.239386
1060	-1008.674	-1016.716	8.04225	0.00531977	0.122453	8.29641e-05	8.29641e-05	8.484e-05	8.484e-05	8.09426e-05	8.09426e-05	8.13122e-05	8.13122e-05	0.000177907	0.000177907	0.269697	0.000184377	0.000184377	0.000175907	0.000175907	0.00017671	0.00017671	0.000120495	0.000120495	0.000122115	0.000122115	0.186794	0.00011914	0.00011914	0.000119684	0.000119684	0.00013148	0.00013148	0.000133248	0.000133248	0.000136261	0.000136261	0.19446	0.000130595	0.000130595	0.000156211	0.000156211	0.000158313	0.000158313	0.000161892	0.000161892	0.000154455	0.000154455	0.232093	0.00233817	0.00371469	0.00605984	0.00118765	0.00164971	0.00233817	0.00371469	0.00605984	0.00118765	0.00164971	0.001694098	1.20295	2.61428	1.77063	1.93205	2.29547	1.20295	2.61428	1.77063	1.93205	2.29547	0.123113	0.271127	0.187756	0.195523	0.233355
1070	-1004.933	-1015.19	10.25693	0.001450639	0.124124	2.24334e-05	2.24334e-05	2.23959e-05	2.23959e-05	2.23457e-05	2.23457e-05	2.2304e-05	2.2304e-05	5.49234e-05	5.49234e-05	0.301022	5.45722e-05	5.45722e-05	5.44498e-05	5.44498e-05	5.43482e-05	5.43482e-05	4.10324e-05	4.10324e-05	4.08383e-05	4.08383e-05	0.224513	4.06786e-05	4.06786e-05	4.06026e-05	4.06026e-05	3.51285e-05	3.51285e-05	3.49623e-05	3.49623e-05	3.49039e-05	3.49039e-05	0.191778	3.47606e-05	3.47606e-05	5.38856e-05	5.38856e-05	5.36307e-05	5.36307e-05	5.3541e-05	5.3541e-05	5.3421e-05	5.3421e-05	0.29363	0.00235302	0.00186877	0.00169846	0.0014704	0.00128104	0.00235302	0.00186877	0.00169846	0.0014704	0.00128104	0.003014357	1.21446	2.95929	2.21084	1.89274	2.90338	1.21446	2.95929	2.21084	1.89274	2.90338	0.124303	0.301458	0.224839	0.192058	0.294059
1080	-1001.061	-1009.864	8.802997	0.00737369	0.116741	0.000108925	0.000108925	0.000110783	0.000110783	0.00010745	0.00010745	0.000109077	0.000109077	0.00027887	0.00027887	0.30178	0.000284998	0.000284998	0.000276426	0.000276426	0.00028061	0.00028061	0.000146637	0.000146637	0.000147347	0.000147347	0.16139	0.000145352	0.000145352	0.000147552	0.000147552	0.000199329	0.000199329	0.000200293	0.000200293	0.000203709	0.000203709	0.212783	0.000200572	0.000200572	0.000207408	0.000207408	0.000208412	0.000208412	0.000211966	0.000211966	0.00020559	0.00020559	0.224759	0.00119381	0.00168361	0.00341742	0.000306772	0.00182508	0.00119381	0.00168361	0.00341742	0.000306772	0.00182508	0.002002578	1.16221	2.98988	1.57216	2.13708	2.2237	1.16221	2.98988	1.57216	2.13708	2.2237	0.117613	0.304021	0.162563	0.214391	0.226426
1090	-1002.694	-1012.839	10.14513	0.00287649	0.142107	5.07445e-05	5.07445e-05	5.12278e-05	5.12278e-05	5.05753e-05	5.05753e-05	5.12285e-05	5.12285e-05	0.000121732	0.000121732	0.334295	0.000121694	0.000121694	0.000120144	0.000120144	0.000121696	0.000121696	7.00513e-05	7.00513e-05	6.93688e-05	6.93688e-05	0.194203	6.91374e-05	6.91374e-05	7.00305e-05	7.00305e-05	6.99573e-05	6.99573e-05	6.92757e-05	6.92757e-05	6.99355e-05	6.99355e-05	0.191472	6.99365e-05	6.99365e-05	7.70886e-05	7.70886e-05	7.63376e-05	7.63376e-05	7.70646e-05	7.70646e-05	7.6083e-05	7.6083e-05	0.213716	0.00213171	0.00113668	0.00209986	0.000799412	0.00210139	0.00213171	0.00113668	0.00209986	0.000799412	0.00210139	0.002700386	1.39543	3.31492	1.90758	1.90502	2.09921	1.39543	3.31492	1.90758	1.90502	2.09921	0.142515	0.335266	0.19476	0.192031	0.214329
1100	-997.3714	-1005.705	8.333387	0.0009294394	0.127106	1.46682e-05	1.46682e-05	1.49628e-05	1.49628e-05	1.4604e-05	1.4604e-05	1.47774e-05	1.47774e-05	4.09436e-05	4.09436e-05	0.349403	4.14474e-05	4.14474e-05	4.04537e-05	4.04537e-05	4.0934e-05	4.0934e-05	2.12957e-05	2.12957e-05	2.11333e-05	2.11333e-05	0.185382	2.10408e-05	2.10408e-05	2.12907e-05	2.12907e-05	2.62496e-05	2.62496e-05	2.60494e-05	2.60494e-05	2.65726e-05	2.65726e-05	0.223028	2.62434e-05	2.62434e-05	3.0452e-05	3.0452e-05	3.02198e-05	3.02198e-05	3.08268e-05	3.08268e-05	3.00877e-05	3.00877e-05	0.261806	0.00163135	0.000856346	0.00288191	0.000415256	0.00160742	0.00163135	0.000856346	0.00288191	0.000415256	0.00160742	0.002017388	1.25182	3.46759	1.80357	2.22312	2.57904	1.25182	3.46759	1.80357	2.22312	2.57904	0.127224	0.349731	0.185552	0.223238	0.262049
1110	-999.026	-1007.378	8.35236	0.006980931	0.127343	0.000111716	0.000111716	0.000111659	0.000111659	0.000110701	0.000110701	0.000112154	0.000112154	0.000300481	0.000300481	0.341372	0.000299827	0.000299827	0.000297255	0.000297255	0.000301157	0.000301157	0.000179705	0.000179705	0.000179406	0.000179406	0.204056	0.000177776	0.000177776	0.00018011	0.00018011	0.000182143	0.000182143	0.000181839	0.000181839	0.000181746	0.000181746	0.205049	0.000182552	0.000182552	0.000234343	0.000234343	0.000233953	0.000233953	0.000233833	0.000233833	0.000231827	0.000231827	0.267277	0.0014705	0.00130151	0.00124974	0.000380924	0.00169865	0.0014705	0.00130151	0.00124974	0.000380924	0.00169865	0.002025793	1.2638	3.39355	2.02954	2.05707	2.6466	1.2638	3.39355	2.02954	2.05707	2.6466	0.128235	0.343769	0.20549	0.206505	0.269145
1120	-1004.868	-1014.771	9.902998	0.007375559	0.127988	0.000117229	0.000117229	0.000117085	0.000117085	0.000115386	0.000115386	0.000116735	0.000116735	0.000292019	0.000292019	0.310053	0.000287624	0.000287624	0.00028345	0.00028345	0.000286763	0.000286763	0.000181612	0.000181612	0.000179098	0.000179098	0.192592	0.000176283	0.000176283	0.000178343	0.000178343	0.000212418	0.000212418	0.000209478	0.000209478	0.000209221	0.000209221	0.221992	0.000208595	0.000208595	0.000260644	0.000260644	0.000257035	0.000257035	0.000256721	0.000256721	0.000252996	0.000252996	0.275575	0.00354325	0.00210983	0.00198486	0.000505026	0.00167974	0.00354325	0.00210983	0.00198486	0.000505026	0.00167974	0.002736505	1.24527	3.05903	1.90247	2.22518	2.73036	1.24527	3.05903	1.90247	2.22518	2.73036	0.128921	0.312353	0.194023	0.223672	0.27763
1130	-1000.219	-1009.081	8.862104	0.00587361	0.12235	9.11187e-05	9.11187e-05	9.24791e-05	9.24791e-05	9.01252e-05	9.01252e-05	9.20857e-05	9.20857e-05	0.00023513	0.00023513	0.321043	0.000240643	0.000240643	0.000234518	0.000234518	0.000239619	0.000239619	0.000133169	0.000133169	0.000134286	0.000134286	0.184542	0.000132822	0.000132822	0.000135712	0.000135712	0.000163835	0.000163835	0.000165209	0.000165209	0.000167676	0.000167676	0.221259	0.000166963	0.000166963	0.00016478	0.00016478	0.000166162	0.000166162	0.000168643	0.000168643	0.000164351	0.000164351	0.227376	0.000623836	0.00146818	0.0029831	0.000361893	0.00254505	0.000623836	0.00146818	0.0029831	0.000361893	0.00254505	0.002097983	1.2231	3.18267	1.80255	2.21763	2.23042	1.2231	3.18267	1.80255	2.21763	2.23042	0.123082	0.322943	0.185614	0.222586	0.228703
1140	-1001.199	-1009.895	8.696807	0.007354106	0.134536	0.000124854	0.000124854	0.000126953	0.000126953	0.000124682	0.000124682	0.000126522	0.000126522	0.000293422	0.000293422	0.317518	0.000298988	0.000298988	0.000293639	0.000293639	0.000297972	0.000297972	0.000183082	0.000183082	0.000183471	0.000183471	0.201447	0.000183217	0.000183217	0.000185921	0.000185921	0.000183496	0.000183496	0.000183885	0.000183885	0.000186976	0.000186976	0.19829	0.000186341	0.000186341	0.000217235	0.000217235	0.000217695	0.000217695	0.000221355	0.000221355	0.000217395	0.000217395	0.238213	0.000761962	0.000975742	0.00267319	0.000836209	0.00232437	0.000761962	0.000975742	0.00267319	0.000836209	0.00232437	0.002032802	1.34508	3.16779	1.97656	1.98102	2.34527	1.34508	3.16779	1.97656	1.98102	2.34527	0.135542	0.319886	0.202918	0.199771	0.239961
1150	-1004.151	-1011.858	7.706089	0.007970546	0.117783	0.000116461	0.000116461	0.000117314	0.000117314	0.000115518	0.000115518	0.000116771	0.000116771	0.00034375	0.00034375	0.336972	0.000340908	0.000340908	0.000335689	0.000335689	0.000339331	0.000339331	0.0002373	0.0002373	0.000233627	0.000233627	0.234325	0.000231735	0.000231735	0.00023425	0.00023425	0.000213152	0.000213152	0.000209852	0.000209852	0.00021139	0.00021139	0.207257	0.000210412	0.000210412	0.000267138	0.000267138	0.000263003	0.000263003	0.00026493	0.00026493	0.000260874	0.000260874	0.262569	0.00256748	0.000979711	0.00171952	0.000162254	0.00124909	0.00256748	0.000979711	0.00171952	0.000162254	0.00124909	0.001845418	1.15757	3.36383	2.32215	2.08584	2.61414	1.15757	3.36383	2.32215	2.08584	2.61414	0.118715	0.339691	0.236199	0.208947	0.264681
1160	-1001.407	-1010.012	8.604721	0.01080503	0.136139	0.000186493	0.000186493	0.000187788	0.000187788	0.00018515	0.00018515	0.000186005	0.000186005	0.000427441	0.000427441	0.314084	0.000431824	0.000431824	0.000425756	0.000425756	0.000427723	0.000427723	0.000202577	0.000202577	0.000203243	0.000203243	0.149888	0.000201779	0.000201779	0.000202711	0.000202711	0.000305539	0.000305539	0.000306542	0.000306542	0.000308672	0.000308672	0.222893	0.000305741	0.000305741	0.000358853	0.000358853	0.000360031	0.000360031	0.000362533	0.000362533	0.000357439	0.000357439	0.262996	0.00107939	0.00141123	0.0021159	0.000680957	0.00114621	0.00107939	0.00141123	0.0021159	0.000680957	0.00114621	0.002032479	1.36157	3.13096	1.48386	2.23804	2.62856	1.36157	3.13096	1.48386	2.23804	2.62856	0.13763	0.317509	0.151509	0.225346	0.265874
1170	-997.8025	-1007.105	9.302735	0.008628394	0.13412	0.000146564	0.000146564	0.000147146	0.000147146	0.000145387	0.000145387	0.000146872	0.000146872	0.000339212	0.000339212	0.313182	0.000342076	0.000342076	0.000337986	0.000337986	0.000341439	0.000341439	0.000221103	0.000221103	0.000222088	0.000222088	0.204947	0.000220304	0.000220304	0.000222555	0.000222555	0.000237934	0.000237934	0.000238994	0.000238994	0.000239943	0.000239943	0.217912	0.000239496	0.000239496	0.00028363	0.00028363	0.000284893	0.000284893	0.000286024	0.000286024	0.000282605	0.000282605	0.262416	0.000931777	0.00138123	0.00178393	0.000567068	0.00159446	0.000931777	0.00138123	0.00178393	0.000567068	0.00159446	0.002387332	1.34038	3.11604	2.03108	2.18569	2.60546	1.34038	3.11604	2.03108	2.18569	2.60546	0.135292	0.315903	0.20672	0.219825	0.26469
1180	-1009.543	-1017.764	8.220552	0.01771263	0.100522	0.00022522	0.00022522	0.000224763	0.000224763	0.000220994	0.000220994	0.000226691	0.000226691	0.000726151	0.000726151	0.320231	0.000720338	0.000720338	0.000708259	0.000708259	0.000726514	0.000726514	0.000467743	0.000467743	0.000464941	0.000464941	0.205855	0.000456218	0.000456218	0.000467977	0.000467977	0.000498998	0.000498998	0.000496009	0.000496009	0.000495003	0.000495003	0.215928	0.000499247	0.000499247	0.000500091	0.000500091	0.000497095	0.000497095	0.000496088	0.000496088	0.000487769	0.000487769	0.221979	0.002786	0.00217024	0.00196314	0.000253343	0.00283739	0.002786	0.00217024	0.00196314	0.000253343	0.00283739	0.0019179	0.99561	3.1908	2.05533	2.19266	2.19747	0.99561	3.1908	2.05533	2.19266	2.19747	0.102318	0.325993	0.209569	0.219907	0.225941
1190	-1002.503	-1013.01	10.50744	0.002071824	0.128833	3.34471e-05	3.34471e-05	3.41468e-05	3.41468e-05	3.31763e-05	3.31763e-05	3.34541e-05	3.34541e-05	8.80999e-05	8.80999e-05	0.33961	8.99775e-05	8.99775e-05	8.74204e-05	8.74204e-05	8.81522e-05	8.81522e-05	4.87186e-05	4.87186e-05	4.87375e-05	4.87375e-05	0.19173	4.83429e-05	4.83429e-05	4.87476e-05	4.87476e-05	5.64348e-05	5.64348e-05	5.64567e-05	5.64567e-05	5.76376e-05	5.76376e-05	0.215785	5.64684e-05	5.64684e-05	7.4118e-05	7.4118e-05	7.41467e-05	7.41467e-05	7.56977e-05	7.56977e-05	7.35463e-05	7.35463e-05	0.285771	0.00110315	0.00114233	0.00325796	0.000323375	0.00116326	0.00110315	0.00114233	0.00325796	0.000323375	0.00116326	0.003358016	1.27692	3.36471	1.86066	2.15536	2.83072	1.27692	3.36471	1.86066	2.15536	2.83072	0.129102	0.340317	0.192119	0.216239	0.286366
1200	-998.9777	-1006.785	7.807628	0.009766751	0.137044	0.000167728	0.000167728	0.000169679	0.000169679	0.000166765	0.000166765	0.000169304	0.000169304	0.000429151	0.000429151	0.34555	0.000430981	0.000430981	0.000423578	0.000423578	0.000430028	0.000430028	0.000244036	0.000244036	0.000242258	0.000242258	0.198783	0.000240867	0.000240867	0.000244535	0.000244535	0.00027961	0.00027961	0.000277572	0.000277572	0.000280802	0.000280802	0.223848	0.000280181	0.000280181	0.000306007	0.000306007	0.000303777	0.000303777	0.000307312	0.000307312	0.000302033	0.000302033	0.248711	0.00162941	0.000888702	0.00206278	0.000309644	0.00183708	0.00162941	0.000888702	0.00206278	0.000309644	0.00183708	0.00183801	1.36176	3.45884	1.96687	2.25358	2.46634	1.36176	3.45884	1.96687	2.25358	2.46634	0.138391	0.348977	0.200727	0.226084	0.25115
1210	-996.9127	-1004.073	7.160431	0.004206532	0.130624	6.89488e-05	6.89488e-05	6.97691e-05	6.97691e-05	6.84047e-05	6.84047e-05	6.92483e-05	6.92483e-05	0.000176752	0.000176752	0.334611	0.000178789	0.000178789	0.000175293	0.000175293	0.000177455	0.000177455	9.21939e-05	9.21939e-05	9.216e-05	9.216e-05	0.176609	9.14327e-05	9.14327e-05	9.25602e-05	9.25602e-05	0.000125051	0.000125051	0.000125005	0.000125005	0.000126492	0.000126492	0.234867	0.000125548	0.000125548	0.000136419	0.000136419	0.000136368	0.000136368	0.000137991	0.000137991	0.000135292	0.000135292	0.259377	0.00107058	0.00103337	0.00223534	0.000236127	0.00147218	0.00107058	0.00103337	0.00223534	0.000236127	0.00147218	0.001635673	1.29786	3.32588	1.73478	2.35303	2.56693	1.29786	3.32588	1.73478	2.35303	2.56693	0.131176	0.336028	0.177346	0.235871	0.260469
1220	-1006.394	-1016.037	9.643221	0.003171402	0.142009	5.60865e-05	5.60865e-05	5.66797e-05	5.66797e-05	5.63028e-05	5.63028e-05	5.69403e-05	5.69403e-05	0.000137454	0.000137454	0.343255	0.000137952	0.000137952	0.000137034	0.000137034	0.000138586	0.000138586	7.11895e-05	7.11895e-05	7.06996e-05	7.06996e-05	0.179657	7.09722e-05	7.09722e-05	7.17758e-05	7.17758e-05	7.19313e-05	7.19313e-05	7.14363e-05	7.14363e-05	7.21918e-05	7.21918e-05	0.180322	7.25237e-05	7.25237e-05	9.51146e-05	9.51146e-05	9.446e-05	9.446e-05	9.5459e-05	9.5459e-05	9.48243e-05	9.48243e-05	0.241139	0.00121105	0.00051445	0.00157753	0.000902088	0.00204455	0.00121105	0.00051445	0.00157753	0.000902088	0.00204455	0.002465624	1.40757	3.42585	1.7743	1.79279	2.3706	1.40757	3.42585	1.7743	1.79279	2.3706	0.142461	0.344357	0.180227	0.180899	0.241899
1230	-1002.013	-1010.466	8.452645	0.001678193	0.139131	2.92434e-05	2.92434e-05	2.99896e-05	2.99896e-05	2.91953e-05	2.91953e-05	2.94896e-05	2.94896e-05	7.70628e-05	7.70628e-05	0.366849	7.90518e-05	7.90518e-05	7.69579e-05	7.69579e-05	7.77338e-05	7.77338e-05	2.94628e-05	2.94628e-05	2.94712e-05	2.94712e-05	0.143833	2.94226e-05	2.94226e-05	2.97193e-05	2.97193e-05	4.18485e-05	4.18485e-05	4.18604e-05	4.18604e-05	4.29286e-05	4.29286e-05	0.198887	4.22129e-05	4.22129e-05	5.14749e-05	5.14749e-05	5.14896e-05	5.14896e-05	5.28035e-05	5.28035e-05	5.14048e-05	5.14048e-05	0.247104	0.000705424	0.000734162	0.00330466	0.000568285	0.00158231	0.000705424	0.000734162	0.00330466	0.000568285	0.00158231	0.002001592	1.38388	3.64788	1.39466	1.98096	2.43664	1.38388	3.64788	1.39466	1.98096	2.43664	0.139367	0.367471	0.144069	0.199225	0.247518
1240	-1005.648	-1014.135	8.487108	0.001466476	0.149796	2.7239e-05	2.7239e-05	2.81931e-05	2.81931e-05	2.71859e-05	2.71859e-05	2.72214e-05	2.72214e-05	6.34557e-05	6.34557e-05	0.342388	6.50567e-05	6.50567e-05	6.27327e-05	6.27327e-05	6.28145e-05	6.28145e-05	3.57146e-05	3.57146e-05	3.53766e-05	3.53766e-05	0.199455	3.53077e-05	3.53077e-05	3.53537e-05	3.53537e-05	3.90168e-05	3.90168e-05	3.86476e-05	3.86476e-05	4.00012e-05	4.00012e-05	0.210113	3.86226e-05	3.86226e-05	5.35562e-05	5.35562e-05	5.30493e-05	5.30493e-05	5.49074e-05	5.49074e-05	5.2946e-05	5.2946e-05	0.288786	0.00176599	0.000802905	0.00433359	0.000606497	0.000737632	0.00176599	0.000802905	0.00433359	0.000606497	0.000737632	0.002115158	1.47412	3.4016	1.91451	2.09153	2.87093	1.47412	3.4016	1.91451	2.09153	2.87093	0.150015	0.342896	0.199738	0.210426	0.289215
1250	-1001.323	-1009.69	8.367188	0.001285621	0.128793	2.08215e-05	2.08215e-05	2.15426e-05	2.15426e-05	2.06037e-05	2.06037e-05	2.07989e-05	2.07989e-05	5.48325e-05	5.48325e-05	0.34237	5.69984e-05	5.69984e-05	5.45143e-05	5.45143e-05	5.50307e-05	5.50307e-05	2.52311e-05	2.52311e-05	2.53499e-05	2.53499e-05	0.162997	2.50847e-05	2.50847e-05	2.53223e-05	2.53223e-05	3.65277e-05	3.65277e-05	3.66997e-05	3.66997e-05	3.79706e-05	3.79706e-05	0.225691	3.66598e-05	3.66598e-05	4.56666e-05	4.56666e-05	4.58816e-05	4.58816e-05	4.74705e-05	4.74705e-05	4.54016e-05	4.54016e-05	0.284829	0.000921388	0.00139644	0.0049079	0.000335711	0.00128621	0.000921388	0.00139644	0.0049079	0.000335711	0.00128621	0.002038008	1.27781	3.3809	1.55572	2.25225	2.81574	1.27781	3.3809	1.55572	2.25225	2.81574	0.12896	0.342813	0.163199	0.225986	0.285198
1260	-998.8028	-1008.759	9.955854	0.003856393	0.127475	6.12746e-05	6.12746e-05	6.22518e-05	6.22518e-05	6.07175e-05	6.07175e-05	6.15394e-05	6.15394e-05	0.000158477	0.000158477	0.325298	0.000159927	0.000159927	0.000155986	0.000155986	0.000158097	0.000158097	7.7865e-05	7.7865e-05	7.73443e-05	7.73443e-05	0.162379	7.66411e-05	7.66411e-05	7.76785e-05	7.76785e-05	0.000111575	0.000111575	0.000110829	0.000110829	0.000112596	0.000112596	0.226943	0.000111308	0.000111308	0.000118337	0.000118337	0.000117545	0.000117545	0.00011942	0.00011942	0.000116477	0.000116477	0.243955	0.002023	0.00134067	0.00295685	0.000419388	0.00177863	0.002023	0.00134067	0.00295685	0.000419388	0.00177863	0.002675644	1.25431	3.22238	1.58326	2.2687	2.4062	1.25431	3.22238	1.58326	2.2687	2.4062	0.127967	0.326563	0.162998	0.227835	0.244898
1270	-1002.94	-1012.758	9.817942	0.003296258	0.115728	4.83341e-05	4.83341e-05	4.87496e-05	4.87496e-05	4.77097e-05	4.77097e-05	4.8558e-05	4.8558e-05	0.000128125	0.000128125	0.313126	0.000130557	0.000130557	0.000127772	0.000127772	0.000130044	0.000130044	8.09692e-05	8.09692e-05	8.18031e-05	8.18031e-05	0.199582	8.07462e-05	8.07462e-05	8.21819e-05	8.21819e-05	7.78801e-05	7.78801e-05	7.86822e-05	7.86822e-05	7.93585e-05	7.93585e-05	0.187873	7.90466e-05	7.90466e-05	9.5793e-05	9.5793e-05	9.67796e-05	9.67796e-05	9.76114e-05	9.76114e-05	9.55292e-05	9.55292e-05	0.235193	0.00130458	0.0023479	0.00322762	0.00102562	0.00282191	0.00130458	0.0023479	0.00322762	0.00102562	0.00282191	0.002494189	1.14616	3.06955	1.93981	1.86581	2.29495	1.14616	3.06955	1.93981	1.86581	2.29495	0.116115	0.314159	0.200233	0.188503	0.235965
1280	-997.8854	-1005.932	8.046539	0.001789299	0.133162	3.0067e-05	3.0067e-05	3.03697e-05	3.03697e-05	2.96514e-05	2.96514e-05	3.01213e-05	3.01213e-05	6.66461e-05	6.66461e-05	0.29974	6.78368e-05	6.78368e-05	6.62322e-05	6.62322e-05	6.72819e-05	6.72819e-05	3.81374e-05	3.81374e-05	3.84319e-05	3.84319e-05	0.173249	3.79005e-05	3.79005e-05	3.85012e-05	3.85012e-05	4.836e-05	4.836e-05	4.87333e-05	4.87333e-05	4.92239e-05	4.92239e-05	0.214491	4.88213e-05	4.88213e-05	5.26074e-05	5.26074e-05	5.30136e-05	5.30136e-05	5.35472e-05	5.35472e-05	5.22806e-05	5.22806e-05	0.237028	0.000979791	0.00175944	0.00278381	0.000352611	0.00194308	0.000979791	0.00175944	0.00278381	0.000352611	0.00194308	0.001763797	1.32106	2.95085	1.68859	2.14121	2.32927	1.32106	2.95085	1.68859	2.14121	2.32927	0.133402	0.300276	0.173555	0.214882	0.237451
1290	-999.5861	-1008.278	8.692344	0.01430892	0.122871	0.000225096	0.000225096	0.000224541	0.000224541	0.00022168	0.00022168	0.00022536	0.00022536	0.000529385	0.000529385	0.294534	0.000533139	0.000533139	0.000526345	0.000526345	0.000535082	0.000535082	0.000359328	0.000359328	0.00036277	0.00036277	0.199427	0.000357265	0.000357265	0.000363196	0.000363196	0.000371814	0.000371814	0.000375375	0.000375375	0.00037445	0.00037445	0.203727	0.000375815	0.000375815	0.000436037	0.000436037	0.000440213	0.000440213	0.000439129	0.000439129	0.000433533	0.000433533	0.242883	0.0012859	0.00225602	0.00200419	0.000704379	0.00237601	0.0012859	0.00225602	0.00200419	0.000704379	0.00237601	0.002007832	1.23073	2.92217	1.98347	2.05239	2.4069	1.23073	2.92217	1.98347	2.05239	2.4069	0.124665	0.298782	0.202312	0.206722	0.24638
1300	-998.8607	-1008.985	10.12421	0.000914824	0.129848	1.4912e-05	1.4912e-05	1.5255e-05	1.5255e-05	1.48193e-05	1.48193e-05	1.49309e-05	1.49309e-05	3.81635e-05	3.81635e-05	0.334547	3.91722e-05	3.91722e-05	3.80535e-05	3.80535e-05	3.83401e-05	3.83401e-05	1.781e-05	1.781e-05	1.78697e-05	1.78697e-05	0.159716	1.77587e-05	1.77587e-05	1.78924e-05	1.78924e-05	2.24112e-05	2.24112e-05	2.24864e-05	2.24864e-05	2.30035e-05	2.30035e-05	0.195239	2.25149e-05	2.25149e-05	3.00711e-05	3.00711e-05	3.0172e-05	3.0172e-05	3.08659e-05	3.08659e-05	2.99845e-05	2.99845e-05	0.263943	0.00109146	0.00143072	0.00376346	0.000800241	0.00155935	0.00109146	0.00143072	0.00376346	0.000800241	0.00155935	0.002778094	1.28564	3.30131	1.54064	1.93866	2.60128	1.28564	3.30131	1.54064	1.93866	2.60128	0.129968	0.334855	0.159859	0.19542	0.264185
1310	-1003.01	-1011.94	8.930183	0.007057214	0.143351	0.000128053	0.000128053	0.000128039	0.000128039	0.000125074	0.000125074	0.000126475	0.000126475	0.000264439	0.000264439	0.299279	0.000265856	0.000265856	0.000259699	0.000259699	0.000262608	0.000262608	0.000153284	0.000153284	0.000154123	0.000154123	0.173459	0.000150536	0.000150536	0.000152222	0.000152222	0.000190895	0.000190895	0.00019194	0.00019194	0.000191918	0.000191918	0.211019	0.000189573	0.000189573	0.000225073	0.000225073	0.000226305	0.000226305	0.000226279	0.000226279	0.000221039	0.000221039	0.251586	0.00229819	0.0028581	0.00284642	0.000464752	0.00158998	0.00229819	0.0028581	0.00284642	0.000464752	0.00158998	0.002087893	1.41127	2.93031	1.69857	2.11535	2.49409	1.41127	2.93031	1.69857	2.11535	2.49409	0.144366	0.301384	0.17468	0.212547	0.253384
