Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_param[1]	delta_param[2]	delta_param[3]	delta_param[4]	delta_param[5]	ma_base_rate	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
100	-1001.268	-1009.254	7.986065	0.0003567445	0.134681	5.98751e-06	5.98751e-06	6.14315e-06	6.14315e-06	5.97367e-06	5.97367e-06	5.96411e-06	5.96411e-06	1.48016e-05	1.48016e-05	0.330676	1.51346e-05	1.51346e-05	1.4717e-05	1.4717e-05	1.46935e-05	1.46935e-05	7.71561e-06	7.71561e-06	7.68931e-06	7.68931e-06	0.176852	7.67154e-06	7.67154e-06	7.65926e-06	7.65926e-06	8.99209e-06	8.99209e-06	8.96144e-06	8.96144e-06	9.19438e-06	9.19438e-06	0.200424	8.92642e-06	8.92642e-06	1.38516e-05	1.38516e-05	1.38044e-05	1.38044e-05	1.41632e-05	1.41632e-05	1.37725e-05	1.37725e-05	0.308244	0.00143417	0.00108847	0.00371613	0.000854811	0.00069341	0.00143417	0.00108847	0.00371613	0.000854811	0.00069341	0.001898647	1.32824	3.27232	1.70576	1.98797	3.0623	1.32824	3.27232	1.70576	1.98797	3.0623	0.134729	0.330795	0.176913	0.200497	0.308355
110	-1006.841	-1017.872	11.03138	0.0008931507	0.130126	1.46895e-05	1.46895e-05	1.46812e-05	1.46812e-05	1.45376e-05	1.45376e-05	1.44815e-05	1.44815e-05	3.23434e-05	3.23434e-05	0.292403	3.26559e-05	3.26559e-05	3.23365e-05	3.23365e-05	3.22116e-05	3.22116e-05	1.47076e-05	1.47076e-05	1.4858e-05	1.4858e-05	0.132891	1.47045e-05	1.47045e-05	1.46477e-05	1.46477e-05	2.19766e-05	2.19766e-05	2.22014e-05	2.22014e-05	2.21889e-05	2.21889e-05	0.196628	2.18871e-05	2.18871e-05	2.97024e-05	2.97024e-05	3.00062e-05	3.00062e-05	2.99894e-05	2.99894e-05	2.96961e-05	2.96961e-05	0.264726	0.00159558	0.00263458	0.00257703	0.00157388	0.00118159	0.00159558	0.00263458	0.00257703	0.00157388	0.00118159	0.003308539	1.28197	2.85152	1.29668	1.93754	2.61868	1.28197	2.85152	1.29668	1.93754	2.61868	0.130243	0.292662	0.133008	0.196805	0.264964
120	-1000.863	-1007.877	7.013122	0.006076743	0.140512	0.000107882	0.000107882	0.000110031	0.000110031	0.000107103	0.000107103	0.00010881	0.00010881	0.000251379	0.000251379	0.330454	0.000257575	0.000257575	0.000250721	0.000250721	0.000254718	0.000254718	0.000131972	0.000131972	0.000132584	0.000132584	0.176941	0.000131626	0.000131626	0.000133725	0.000133725	0.000170188	0.000170188	0.000170977	0.000170977	0.000174383	0.000174383	0.222107	0.000172448	0.000172448	0.000166725	0.000166725	0.000167498	0.000167498	0.000170835	0.000170835	0.000166289	0.000166289	0.221057	0.000744991	0.00121221	0.00322822	0.000481287	0.00208305	0.000744991	0.00121221	0.00322822	0.000481287	0.00208305	0.001532334	1.40325	3.28492	1.72455	2.22395	2.1787	1.40325	3.28492	1.72455	2.22395	2.1787	0.141379	0.332483	0.178001	0.223483	0.222399
130	-1007.437	-1016.29	8.852332	0.01923669	0.1585	0.000388016	0.000388016	0.000387498	0.000387498	0.000382351	0.000382351	0.000386782	0.000386782	0.00076233	0.00076233	0.310465	0.000760165	0.000760165	0.000750069	0.000750069	0.00075876	0.00075876	0.000452619	0.000452619	0.000451937	0.000451937	0.184086	0.000445339	0.000445339	0.000450499	0.000450499	0.000513294	0.000513294	0.000512521	0.000512521	0.000511836	0.000511836	0.205991	0.00051089	0.00051089	0.000619733	0.000619733	0.0006188	0.0006188	0.000617974	0.000617974	0.000609766	0.000609766	0.251588	0.00202903	0.00187538	0.00173934	0.000388015	0.00155127	0.00202903	0.00187538	0.00173934	0.000388015	0.00155127	0.002124493	1.58395	3.10727	1.84488	2.09219	2.52604	1.58395	3.10727	1.84488	2.09219	2.52604	0.161589	0.316527	0.187687	0.210088	0.256521
140	-1000.195	-1008.521	8.325701	0.01536786	0.124985	0.000242505	0.000242505	0.000244717	0.000244717	0.000240162	0.000240162	0.000241132	0.000241132	0.000598788	0.000598788	0.305235	0.000600936	0.000600936	0.000589751	0.000589751	0.000592132	0.000592132	0.000340072	0.000340072	0.000338207	0.000338207	0.174935	0.00033494	0.00033494	0.000336292	0.000336292	0.000390712	0.000390712	0.000388569	0.000388569	0.000392114	0.000392114	0.197243	0.000386369	0.000386369	0.000548456	0.000548456	0.000545449	0.000545449	0.000550425	0.000550425	0.000540179	0.000540179	0.277996	0.00217125	0.00161091	0.00253789	0.000629268	0.00103556	0.00217125	0.00161091	0.00253789	0.000629268	0.00103556	0.001930746	1.24239	3.05085	1.73268	1.99069	2.79441	1.24239	3.05085	1.73268	1.99069	2.79441	0.126922	0.309999	0.177634	0.200359	0.282365
150	-1001.291	-1009.315	8.024092	0.01197528	0.130964	0.000199739	0.000199739	0.000198623	0.000198623	0.000197573	0.000197573	0.000197765	0.000197765	0.000461941	0.000461941	0.306932	0.000462421	0.000462421	0.000459976	0.000459976	0.000460423	0.000460423	0.000311484	0.000311484	0.000313559	0.000313559	0.205806	0.000310159	0.000310159	0.00031046	0.00031046	0.000277017	0.000277017	0.000278862	0.000278862	0.000277305	0.000277305	0.182065	0.000276106	0.000276106	0.000417595	0.000417595	0.000420377	0.000420377	0.000418029	0.000418029	0.000415819	0.000415819	0.274725	0.00142718	0.00210285	0.00153262	0.000995651	0.00109382	0.00142718	0.00210285	0.00153262	0.000995651	0.00109382	0.001837222	1.30686	3.04254	2.05157	1.82455	2.75046	1.30686	3.04254	2.05157	1.82455	2.75046	0.132551	0.310621	0.208298	0.184284	0.278068
160	-1001.624	-1011.528	9.903422	0.004991756	0.118563	7.45061e-05	7.45061e-05	7.51436e-05	7.51436e-05	7.30826e-05	7.30826e-05	7.37243e-05	7.37243e-05	0.000181061	0.000181061	0.289329	0.000182991	0.000182991	0.000177972	0.000177972	0.000179534	0.000179534	9.36485e-05	9.36485e-05	9.38438e-05	9.38438e-05	0.150928	9.20508e-05	9.20508e-05	9.2859e-05	9.2859e-05	0.000128296	0.000128296	0.000128564	0.000128564	0.000129663	0.000129663	0.201096	0.000127214	0.000127214	0.000169111	0.000169111	0.000169464	0.000169464	0.000170914	0.000170914	0.000166226	0.000166226	0.267398	0.0024767	0.0026904	0.00356894	0.000728391	0.00161283	0.0024767	0.0026904	0.00356894	0.000728391	0.00161283	0.002523606	1.16278	2.83163	1.46458	2.00643	2.64474	1.16278	2.83163	1.46458	2.00643	2.64474	0.119156	0.290772	0.151672	0.202123	0.26875
170	-997.1269	-1007.07	9.942707	0.003284425	0.127516	5.25512e-05	5.25512e-05	5.25393e-05	5.25393e-05	5.19302e-05	5.19302e-05	5.2706e-05	5.2706e-05	0.000127144	0.000127144	0.308828	0.000127179	0.000127179	0.000125705	0.000125705	0.000127583	0.000127583	7.62068e-05	7.62068e-05	7.62452e-05	7.62452e-05	0.185061	7.53442e-05	7.53442e-05	7.64698e-05	7.64698e-05	8.86273e-05	8.86273e-05	8.86719e-05	8.86719e-05	8.86518e-05	8.86518e-05	0.212728	8.89332e-05	8.89332e-05	9.97755e-05	9.97755e-05	9.98257e-05	9.98257e-05	9.98031e-05	9.98031e-05	9.86461e-05	9.86461e-05	0.243065	0.00149824	0.00154932	0.00152626	0.000349305	0.00184854	0.00149824	0.00154932	0.00152626	0.000349305	0.00184854	0.002609863	1.26048	3.05118	1.8288	2.12686	2.3944	1.26048	3.05118	1.8288	2.12686	2.3944	0.127936	0.309843	0.18567	0.213438	0.243861
180	-998.8595	-1007.287	8.427361	0.003207862	0.141976	5.72384e-05	5.72384e-05	5.81821e-05	5.81821e-05	5.66031e-05	5.66031e-05	5.71339e-05	5.71339e-05	0.00011946	0.00011946	0.297614	0.000121696	0.000121696	0.000118393	0.000118393	0.000119503	0.000119503	7.21902e-05	7.21902e-05	7.23484e-05	7.23484e-05	0.182814	7.15453e-05	7.15453e-05	7.22162e-05	7.22162e-05	8.61145e-05	8.61145e-05	8.63032e-05	8.63032e-05	8.7726e-05	8.7726e-05	0.212157	8.61455e-05	8.61455e-05	0.00010232	0.00010232	0.000102544	0.000102544	0.000104234	0.000104234	0.000101405	0.000101405	0.254445	0.00145392	0.00167618	0.00335247	0.000547589	0.00149042	0.00145392	0.00167618	0.00335247	0.000547589	0.00149042	0.001916075	1.40392	2.9365	1.77453	2.11681	2.51515	1.40392	2.9365	1.77453	2.11681	2.51515	0.142435	0.298572	0.183391	0.21285	0.255266
190	-999.5576	-1009.826	10.26885	0.00326709	0.133734	5.48463e-05	5.48463e-05	5.54197e-05	5.54197e-05	5.4726e-05	5.4726e-05	5.55684e-05	5.55684e-05	0.000135958	0.000135958	0.332144	0.00013751	0.00013751	0.000135789	0.000135789	0.000137879	0.000137879	7.36892e-05	7.36892e-05	7.37593e-05	7.37593e-05	0.181903	7.35975e-05	7.35975e-05	7.47304e-05	7.47304e-05	7.82698e-05	7.82698e-05	7.83442e-05	7.83442e-05	7.91632e-05	7.91632e-05	0.190792	7.93757e-05	7.93757e-05	0.000100617	0.000100617	0.000100712	0.000100712	0.000101765	0.000101765	0.000100492	0.000100492	0.249041	0.00112127	0.00121744	0.00227557	0.000995433	0.00255008	0.00112127	0.00121744	0.00227557	0.000995433	0.00255008	0.002847544	1.32685	3.29225	1.78439	1.89531	2.43645	1.32685	3.29225	1.78439	1.89531	2.43645	0.134175	0.333238	0.182495	0.191423	0.249849
