"end_parent","start_child_1","start_child_2","posterior_mean_count","posterior_mean_rate","posterior_median_count","from","to"
17,7,17,0,0.000347032895739015,0,"DC","BC:DC"
17,17,12,0.00354609929078014,0.0904730272969374,0,"DC","DC:CC"
17,12,17,0.00709219858156028,0.0904730272969374,0,"DC","CC:DC"
17,17,17,0,0.000716618314913449,0,"DC","DC:DC"
17,17,22,0,0.000700137573901465,0,"DC","DC:EC"
17,22,17,0,0.000700137573901465,0,"DC","EC:DC"
18,18,3,0,1.33347570705726e-05,0,"DD","DD:AD"
18,3,18,0,1.33347570705726e-05,0,"DD","AD:DD"
18,18,8,0.351063829787234,0.000582153663115846,0,"DD","DD:BD"
18,8,18,0.0921985815602837,0.000582153663115846,0,"DD","BD:DD"
18,18,13,0.0354609929078014,0.000757443133155792,0,"DD","DD:CD"
18,13,18,0.0921985815602837,0.000757443133155792,0,"DD","CD:DD"
18,18,18,21.3829787234043,0.214141679094541,23,"DD","DD:DD"
18,18,23,0.198581560283688,0.00116722048202397,0,"DD","DD:ED"
18,23,18,1.08687943262411,0.00116722048202397,1,"DD","ED:DD"
19,19,4,0,1.2273187976032e-05,0,"DE","DE:AE"
19,4,19,0,1.2273187976032e-05,0,"DE","AE:DE"
19,19,9,0,0.000529253856458056,0,"DE","DE:BE"
19,9,19,0.00177304964539007,0.000529253856458056,0,"DE","BE:DE"
19,19,14,0,0.000706477162849534,0,"DE","DE:CE"
19,14,19,0.00354609929078014,0.000706477162849534,0,"DE","CE:DE"
19,19,19,0,0.00116370610319574,0,"DE","DE:DE"
19,19,24,0.0265957446808511,0.125358556191744,0,"DE","DE:EE"
19,24,19,0.0904255319148936,0.125358556191744,0,"DE","EE:DE"
20,20,0,0.0230496453900709,0.0649675547270306,0,"EA","EA:AA"
20,0,20,0.0106382978723404,0.0649675547270306,0,"EA","AA:EA"
20,20,5,0,0.000616840821571238,0,"EA","EA:BA"
20,5,20,0,0.000616840821571238,0,"EA","BA:EA"
20,20,10,0,0.000798000013315579,0,"EA","EA:CA"
20,10,20,0.00177304964539007,0.000798000013315579,0,"EA","CA:EA"
20,20,15,0,0.000640716099067909,0,"EA","EA:DA"
20,15,20,0.00354609929078014,0.000640716099067909,0,"EA","DA:EA"
